id,flock,year,sex,birth_type,dam_age,cg,wwt,fat,fec,nlb1,lambing1_year
W2100060,F2,2021,F,3,2-5,F2-2021-F,29.72,3.47,6.664,2,F2-2022
W2100061,F2,2021,F,3,2-5,F2-2021-F,27.13,3.61,NA,NA,NA
W2100062,F1,2021,F,2,2-5,F1-2021-F,29.6,NA,NA,NA,NA
W2100063,F1,2021,F,2,2-5,F1-2021-F,27.12,NA,NA,NA,NA
W2100064,F2,2021,F,1,2-5,F2-2021-F,22.68,4.45,6.539,2,F2-2022
M2100065,F1,2021,M,1,2-5,F1-2021-M,35.56,2.08,NA,NA,NA
W2100066,F2,2021,F,1,2-5,F2-2021-F,29.97,2.74,6.597,NA,NA
M2100067,F1,2021,M,1,2-5,F1-2021-M,34.45,4.49,6.712,NA,NA
M2100068,F2,2021,M,1,2-5,F2-2021-M,35.28,3.36,4.74,NA,NA
M2100069,F1,2021,M,2,2-5,F1-2021-M,30.18,2.63,5.638,NA,NA
W2100070,F1,2021,F,2,2-5,F1-2021-F,23.84,2.33,3.98,NA,NA
W2100071,F2,2021,F,1,2-5,F2-2021-F,25.74,3.2,6.432,1,F2-2022
M2100072,F1,2021,M,1,2-5,F1-2021-M,35.18,3.97,NA,NA,NA
W2100073,F2,2021,F,2,2-5,F2-2021-F,26.59,NA,NA,NA,NA
W2100074,F2,2021,F,2,2-5,F2-2021-F,24.18,3.8,6.215,1,F2-2022
M2100075,F1,2021,M,1,2-5,F1-2021-M,35.46,3.07,7.024,NA,NA
M2100076,F2,2021,M,1,2-5,F2-2021-M,32.92,NA,6.543,NA,NA
W2100077,F1,2021,F,3,2-5,F1-2021-F,26.67,NA,NA,NA,NA
W2100078,F1,2021,F,3,2-5,F1-2021-F,20.61,3.19,5.449,NA,NA
W2100079,F1,2021,F,3,2-5,F1-2021-F,23.87,NA,NA,2,F1-2022
M2100080,F2,2021,M,1,2-5,F2-2021-M,38.54,NA,7.649,NA,NA
M2100081,F1,2021,M,1,2-5,F1-2021-M,25.2,3.94,NA,NA,NA
M2100082,F2,2021,M,1,2-5,F2-2021-M,34.15,2.8,7.551,NA,NA
M2100083,F1,2021,M,2,2-5,F1-2021-M,26.66,3.74,7.74,NA,NA
W2100084,F1,2021,F,2,2-5,F1-2021-F,24.12,NA,6.058,NA,NA
W2100085,F2,2021,F,2,2-5,F2-2021-F,24.49,NA,NA,NA,NA
W2100086,F2,2021,F,2,2-5,F2-2021-F,19.73,2.52,NA,NA,NA
M2100087,F1,2021,M,2,2-5,F1-2021-M,25.65,NA,4.844,NA,NA
W2100088,F1,2021,F,2,2-5,F1-2021-F,24.95,NA,7.321,NA,NA
M2100089,F2,2021,M,1,2-5,F2-2021-M,38.04,3.83,7.192,NA,NA
W2100090,F1,2021,F,1,2-5,F1-2021-F,27.23,NA,3.263,1,F1-2022
W2100091,F2,2021,F,2,2-5,F2-2021-F,21.01,NA,4.871,NA,NA
W2100092,F2,2021,F,2,2-5,F2-2021-F,25.46,3.7,NA,NA,NA
W2100093,F1,2021,F,2,2-5,F1-2021-F,27.2,NA,6.158,NA,NA
M2100094,F1,2021,M,2,2-5,F1-2021-M,24.17,1.5,NA,NA,NA
W2100095,F2,2021,F,1,2-5,F2-2021-F,29.38,3.31,4.714,NA,NA
M2100096,F1,2021,M,2,2-5,F1-2021-M,27.53,NA,NA,NA,NA
W2100097,F1,2021,F,2,2-5,F1-2021-F,17.33,2.23,6.549,NA,NA
W2100098,F2,2021,F,1,2-5,F2-2021-F,25.92,2.46,NA,1,F2-2022
W2100099,F1,2021,F,1,2-5,F1-2021-F,30.05,NA,5.592,NA,NA
W2100100,F2,2021,F,2,2-5,F2-2021-F,16.96,NA,NA,2,F2-2022
W2100101,F2,2021,F,2,2-5,F2-2021-F,22.79,NA,6.192,NA,NA
M2100102,F1,2021,M,1,2-5,F1-2021-M,32.14,3.8,6.682,NA,NA
W2100103,F2,2021,F,1,2-5,F2-2021-F,28.33,4.24,NA,NA,NA
M2100104,F1,2021,M,2,2-5,F1-2021-M,29.35,NA,NA,NA,NA
W2100105,F1,2021,F,2,2-5,F1-2021-F,21.72,1.8,NA,1,F1-2022
W2100106,F2,2021,F,1,2-5,F2-2021-F,28.96,4.16,NA,NA,NA
W2100107,F1,2021,F,2,2-5,F1-2021-F,24.6,2.72,NA,NA,NA
W2100108,F1,2021,F,2,2-5,F1-2021-F,20.72,NA,5.584,1,F1-2022
M2100109,F2,2021,M,1,2-5,F2-2021-M,32.11,3.51,NA,NA,NA
W2100110,F1,2021,F,2,2-5,F1-2021-F,29.1,3.16,4.908,1,F1-2022
M2100111,F1,2021,M,2,2-5,F1-2021-M,29.46,4.72,5.701,NA,NA
M2100112,F2,2021,M,1,2-5,F2-2021-M,37.39,4.74,6.258,NA,NA
M2100113,F1,2021,M,2,2-5,F1-2021-M,29.27,2.38,NA,NA,NA
M2100114,F1,2021,M,2,2-5,F1-2021-M,27.45,NA,NA,NA,NA
W2100115,F2,2021,F,3,2-5,F2-2021-F,17.45,3.68,NA,1,F2-2022
W2100116,F2,2021,F,3,2-5,F2-2021-F,16.35,1.05,5.984,NA,NA
M2100117,F2,2021,M,3,2-5,F2-2021-M,29.45,NA,6.134,NA,NA
W2100118,F1,2021,F,1,2-5,F1-2021-F,39.8,4.06,5.808,NA,NA
M2100119,F2,2021,M,2,2-5,F2-2021-M,33.37,NA,5.877,NA,NA
M2100120,F2,2021,M,2,2-5,F2-2021-M,32.41,NA,NA,NA,NA
W2100121,F1,2021,F,2,2-5,F1-2021-F,26.6,3.17,5.644,NA,NA
W2100122,F1,2021,F,2,2-5,F1-2021-F,22.37,1.45,NA,1,F1-2022
W2100123,F2,2021,F,2,2-5,F2-2021-F,17.55,2.9,6.79,1,F2-2022
M2100124,F2,2021,M,2,2-5,F2-2021-M,24.88,NA,NA,NA,NA
M2100125,F1,2021,M,2,2-5,F1-2021-M,33.09,2.04,NA,NA,NA
W2100126,F1,2021,F,2,2-5,F1-2021-F,33.22,NA,5.151,NA,NA
M2100127,F2,2021,M,2,2-5,F2-2021-M,33.94,4.08,6.293,NA,NA
M2100128,F2,2021,M,2,2-5,F2-2021-M,35.54,2.66,NA,NA,NA
M2100129,F1,2021,M,1,2-5,F1-2021-M,41.21,NA,6.028,NA,NA
M2100130,F2,2021,M,2,2-5,F2-2021-M,26.57,NA,5.655,NA,NA
M2100131,F2,2021,M,2,2-5,F2-2021-M,33.43,2.4,4.941,NA,NA
W2100132,F1,2021,F,2,2-5,F1-2021-F,22.76,NA,NA,NA,NA
M2100133,F1,2021,M,2,2-5,F1-2021-M,33.89,3.6,NA,NA,NA
M2100134,F2,2021,M,1,2-5,F2-2021-M,37.26,NA,NA,NA,NA
W2100135,F1,2021,F,1,2-5,F1-2021-F,29.33,3.27,5.147,NA,NA
M2100136,F2,2021,M,2,2-5,F2-2021-M,31.45,3.77,5.745,NA,NA
W2100137,F2,2021,F,2,2-5,F2-2021-F,20.61,3.08,NA,NA,NA
M2100138,F1,2021,M,2,2-5,F1-2021-M,28.92,3.91,5.997,NA,NA
M2100139,F1,2021,M,2,2-5,F1-2021-M,27.4,NA,NA,NA,NA
M2100140,F2,2021,M,2,2-5,F2-2021-M,34.3,NA,NA,NA,NA
W2100141,F2,2021,F,2,2-5,F2-2021-F,24.99,3.58,8.036,1,F2-2022
W2100142,F1,2021,F,2,2-5,F1-2021-F,26.19,4.15,7.189,1,F1-2022
M2100143,F1,2021,M,2,2-5,F1-2021-M,25.82,2.86,5.832,NA,NA
W2100144,F2,2021,F,1,2-5,F2-2021-F,27.05,3.98,NA,NA,NA
M2100145,F1,2021,M,1,2-5,F1-2021-M,25.81,2.59,6.252,NA,NA
W2100146,F2,2021,F,1,2-5,F2-2021-F,28.24,NA,NA,NA,NA
M2100147,F1,2021,M,2,2-5,F1-2021-M,24.46,NA,NA,NA,NA
W2100148,F1,2021,F,2,2-5,F1-2021-F,30.43,NA,NA,1,F1-2022
M2100149,F2,2021,M,1,2-5,F2-2021-M,33.56,2.76,NA,NA,NA
M2100150,F1,2021,M,1,2-5,F1-2021-M,36.11,3.13,NA,NA,NA
W2100151,F2,2021,F,1,2-5,F2-2021-F,27.53,3.57,5.172,NA,NA
W2100152,F1,2021,F,2,2-5,F1-2021-F,25.81,NA,NA,NA,NA
M2100153,F1,2021,M,2,2-5,F1-2021-M,16.72,1.08,6.118,NA,NA
M2100154,F2,2021,M,2,2-5,F2-2021-M,33.91,NA,NA,NA,NA
W2100155,F2,2021,F,2,2-5,F2-2021-F,21.63,NA,5.806,NA,NA
M2100156,F1,2021,M,1,2-5,F1-2021-M,25.04,3.23,NA,NA,NA
W2100157,F2,2021,F,2,2-5,F2-2021-F,22.39,2.65,6.895,NA,NA
W2100158,F2,2021,F,2,2-5,F2-2021-F,20.98,3.8,5.079,2,F2-2022
W2100159,F1,2021,F,1,2-5,F1-2021-F,25.55,NA,NA,NA,NA
W2100160,F2,2021,F,2,2-5,F2-2021-F,26.42,3.1,4.702,NA,NA
M2100161,F2,2021,M,2,2-5,F2-2021-M,37.04,NA,NA,NA,NA
M2100162,F1,2021,M,1,2-5,F1-2021-M,36.43,4.77,6.21,NA,NA
M2100163,F2,2021,M,1,2-5,F2-2021-M,43.05,NA,NA,NA,NA
M2100164,F1,2021,M,1,2-5,F1-2021-M,29.99,3.55,4.428,NA,NA
W2100165,F2,2021,F,1,2-5,F2-2021-F,33.5,NA,6.65,2,F2-2022
M2100166,F1,2021,M,1,2-5,F1-2021-M,33.43,3.36,4.847,NA,NA
M2100167,F2,2021,M,2,2-5,F2-2021-M,33.2,3.98,5.874,NA,NA
M2100168,F2,2021,M,2,2-5,F2-2021-M,36.11,4.52,8.306,NA,NA
W2100169,F1,2021,F,1,2-5,F1-2021-F,29.67,2.36,4.673,NA,NA
W2100170,F2,2021,F,1,2-5,F2-2021-F,28.09,NA,NA,NA,NA
M2100171,F1,2021,M,1,2-5,F1-2021-M,24.93,3.44,5.069,NA,NA
M2100172,F2,2021,M,1,2-5,F2-2021-M,36.05,NA,NA,NA,NA
W2100173,F1,2021,F,1,2-5,F1-2021-F,25.14,1.95,NA,1,F1-2022
W2100174,F2,2021,F,1,2-5,F2-2021-F,17.58,3.05,6.746,NA,NA
M2100175,F1,2021,M,1,2-5,F1-2021-M,40.63,3.94,7.09,NA,NA
W2100176,F2,2021,F,1,2-5,F2-2021-F,26.9,NA,7.991,2,F2-2022
M2100177,F1,2021,M,1,2-5,F1-2021-M,33.29,4.92,6.742,NA,NA
W2100178,F2,2021,F,1,2-5,F2-2021-F,27.5,NA,7.536,3,F2-2022
M2100179,F1,2021,M,3,2-5,F1-2021-M,34.49,2.73,6.128,NA,NA
W2100180,F1,2021,F,3,2-5,F1-2021-F,23.55,NA,NA,1,F1-2022
M2100181,F1,2021,M,3,2-5,F1-2021-M,18.24,NA,6.556,NA,NA
W2100182,F2,2021,F,1,2-5,F2-2021-F,28.1,NA,NA,NA,NA
W2100183,F1,2021,F,2,2-5,F1-2021-F,20.53,NA,5.679,NA,NA
M2100184,F1,2021,M,2,2-5,F1-2021-M,29.44,NA,NA,NA,NA
W2100185,F2,2021,F,1,2-5,F2-2021-F,26.71,NA,5.433,NA,NA
M2100186,F1,2021,M,1,2-5,F1-2021-M,22.79,NA,NA,NA,NA
M2100187,F2,2021,M,2,2-5,F2-2021-M,28.99,2.74,NA,NA,NA
M2100188,F2,2021,M,2,2-5,F2-2021-M,32.74,NA,7.031,NA,NA
M2100189,F1,2021,M,2,2-5,F1-2021-M,33.52,NA,NA,NA,NA
W2100190,F1,2021,F,2,2-5,F1-2021-F,32.37,NA,6.603,NA,NA
W2100191,F2,2021,F,1,2-5,F2-2021-F,27.73,NA,NA,1,F2-2022
W2100192,F1,2021,F,1,2-5,F1-2021-F,27.98,1.81,NA,NA,NA
M2100193,F2,2021,M,1,2-5,F2-2021-M,38.39,4.92,NA,NA,NA
M2100194,F1,2021,M,1,2-5,F1-2021-M,22.04,2.67,NA,NA,NA
M2100195,F2,2021,M,1,2-5,F2-2021-M,34.98,3.66,NA,NA,NA
M2100196,F1,2021,M,1,2-5,F1-2021-M,38.06,4.54,NA,NA,NA
M2100197,F2,2021,M,1,2-5,F2-2021-M,36.95,2.44,4.914,NA,NA
M2100198,F1,2021,M,1,2-5,F1-2021-M,33.89,4.43,6.532,NA,NA
M2100199,F2,2021,M,1,2-5,F2-2021-M,38.48,2.88,7.396,NA,NA
W2100200,F1,2021,F,3,2-5,F1-2021-F,23.02,NA,NA,NA,NA
W2100201,F1,2021,F,3,2-5,F1-2021-F,21.04,1.7,5.68,2,F1-2022
W2100202,F1,2021,F,3,2-5,F1-2021-F,10.44,NA,3.91,NA,NA
M2100203,F2,2021,M,1,2-5,F2-2021-M,33.66,2.08,7.147,NA,NA
M2100204,F1,2021,M,1,2-5,F1-2021-M,29.56,NA,5.342,NA,NA
W2100205,F2,2021,F,2,2-5,F2-2021-F,23.62,NA,NA,2,F2-2022
W2100206,F2,2021,F,2,2-5,F2-2021-F,23.91,3.12,6.205,2,F2-2022
W2100207,F1,2021,F,1,2-5,F1-2021-F,32.04,2.3,NA,NA,NA
M2100208,F2,2021,M,1,2-5,F2-2021-M,38.0,4.11,NA,NA,NA
M2100209,F1,2021,M,1,2-5,F1-2021-M,31.98,NA,NA,NA,NA
M2100210,F2,2021,M,2,2-5,F2-2021-M,24.35,2.93,4.634,NA,NA
M2100211,F2,2021,M,2,2-5,F2-2021-M,34.11,NA,NA,NA,NA
M2100212,F1,2021,M,1,2-5,F1-2021-M,36.61,4.2,5.226,NA,NA
M2100213,F2,2021,M,1,2-5,F2-2021-M,33.83,3.46,6.451,NA,NA
W2100214,F1,2021,F,1,2-5,F1-2021-F,24.24,2.61,4.327,2,F1-2022
M2100215,F2,2021,M,3,2-5,F2-2021-M,26.74,2.04,NA,NA,NA
W2100216,F2,2021,F,3,2-5,F2-2021-F,24.12,NA,4.792,1,F2-2022
M2100217,F2,2021,M,3,2-5,F2-2021-M,24.52,2.16,5.976,NA,NA
W2100218,F1,2021,F,1,2-5,F1-2021-F,26.35,NA,8.466,2,F1-2022
M2100219,F2,2021,M,2,2-5,F2-2021-M,37.76,4.23,5.587,NA,NA
W2100220,F2,2021,F,2,2-5,F2-2021-F,25.69,NA,NA,NA,NA
W2100221,F1,2021,F,1,2-5,F1-2021-F,23.56,1.3,4.534,NA,NA
W2100222,F2,2021,F,1,2-5,F2-2021-F,25.97,3.17,5.125,NA,NA
M2100223,F1,2021,M,1,2-5,F1-2021-M,36.55,4.48,NA,NA,NA
W2100224,F2,2021,F,1,2-5,F2-2021-F,30.21,NA,NA,NA,NA
W2100225,F1,2021,F,1,2-5,F1-2021-F,29.11,NA,NA,NA,NA
M2100226,F2,2021,M,2,2-5,F2-2021-M,37.19,NA,NA,NA,NA
W2100227,F2,2021,F,2,2-5,F2-2021-F,22.45,2.4,NA,NA,NA
M2100228,F1,2021,M,2,2-5,F1-2021-M,29.01,2.34,5.889,NA,NA
W2100229,F1,2021,F,2,2-5,F1-2021-F,21.41,NA,6.377,NA,NA
W2100230,F2,2021,F,2,2-5,F2-2021-F,24.22,2.71,NA,2,F2-2022
M2100231,F2,2021,M,2,2-5,F2-2021-M,29.49,3.46,NA,NA,NA
M2100232,F1,2021,M,1,2-5,F1-2021-M,32.96,4.3,6.704,NA,NA
W2100233,F2,2021,F,2,2-5,F2-2021-F,25.55,4.1,6.726,NA,NA
M2100234,F2,2021,M,2,2-5,F2-2021-M,36.27,4.72,6.362,NA,NA
W2100235,F1,2021,F,1,2-5,F1-2021-F,28.2,2.09,NA,NA,NA
W2100236,F2,2021,F,1,2-5,F2-2021-F,30.72,3.43,5.87,NA,NA
W2100237,F1,2021,F,1,2-5,F1-2021-F,33.65,3.18,4.603,1,F1-2022
W2100238,F2,2021,F,2,2-5,F2-2021-F,17.62,NA,NA,NA,NA
W2100239,F2,2021,F,2,2-5,F2-2021-F,22.55,3.72,5.55,NA,NA
M2100240,F1,2021,M,2,2-5,F1-2021-M,25.2,2.36,NA,NA,NA
M2100241,F1,2021,M,2,2-5,F1-2021-M,28.15,NA,NA,NA,NA
M2100242,F2,2021,M,1,2-5,F2-2021-M,37.66,NA,7.394,NA,NA
W2100243,F1,2021,F,3,2-5,F1-2021-F,24.29,NA,NA,NA,NA
M2100244,F1,2021,M,3,2-5,F1-2021-M,30.99,4.81,6.489,NA,NA
W2100245,F1,2021,F,3,2-5,F1-2021-F,24.69,1.83,5.514,2,F1-2022
M2100246,F2,2021,M,2,2-5,F2-2021-M,31.27,NA,NA,NA,NA
M2100247,F2,2021,M,2,2-5,F2-2021-M,29.67,2.53,NA,NA,NA
M2100248,F1,2021,M,1,2-5,F1-2021-M,31.35,2.92,NA,NA,NA
W2100249,F2,2021,F,2,2-5,F2-2021-F,26.22,NA,NA,NA,NA
W2100250,F2,2021,F,2,2-5,F2-2021-F,29.53,3.19,NA,NA,NA
W2100251,F1,2021,F,2,2-5,F1-2021-F,24.1,3.11,5.496,NA,NA
W2100252,F1,2021,F,2,2-5,F1-2021-F,28.78,3.03,2.802,NA,NA
W2100253,F2,2021,F,1,2-5,F2-2021-F,34.24,3.4,7.666,NA,NA
W2100254,F1,2021,F,2,2-5,F1-2021-F,34.96,NA,NA,2,F1-2022
M2100255,F1,2021,M,2,2-5,F1-2021-M,34.36,3.12,4.996,NA,NA
W2100256,F2,2021,F,1,2-5,F2-2021-F,22.19,2.05,5.229,1,F2-2022
W2100257,F1,2021,F,1,2-5,F1-2021-F,31.29,2.58,7.958,NA,NA
W2100258,F2,2021,F,1,2-5,F2-2021-F,30.89,NA,NA,NA,NA
W2100259,F1,2021,F,1,2-5,F1-2021-F,33.05,3.03,5.949,1,F1-2022
M2100260,F2,2021,M,1,2-5,F2-2021-M,33.96,3.46,NA,NA,NA
W2100261,F1,2021,F,1,2-5,F1-2021-F,35.7,2.95,7.172,2,F1-2022
W2100262,F2,2021,F,2,2-5,F2-2021-F,25.53,2.09,7.87,NA,NA
M2100263,F2,2021,M,2,2-5,F2-2021-M,29.95,NA,6.024,NA,NA
M2100264,F1,2021,M,1,2-5,F1-2021-M,31.75,NA,6.984,NA,NA
M2100265,F2,2021,M,1,2-5,F2-2021-M,30.7,1.11,7.211,NA,NA
M2100266,F1,2021,M,3,2-5,F1-2021-M,24.3,NA,NA,NA,NA
M2100267,F1,2021,M,3,2-5,F1-2021-M,22.72,NA,6.324,NA,NA
M2100268,F1,2021,M,3,2-5,F1-2021-M,27.81,NA,NA,NA,NA
M2100269,F2,2021,M,2,2-5,F2-2021-M,37.83,4.29,NA,NA,NA
M2100270,F2,2021,M,2,2-5,F2-2021-M,34.15,3.24,NA,NA,NA
M2100271,F1,2021,M,1,2-5,F1-2021-M,39.08,4.58,4.921,NA,NA
M2100272,F2,2021,M,2,2-5,F2-2021-M,30.04,2.81,NA,NA,NA
M2100273,F2,2021,M,2,2-5,F2-2021-M,28.49,2.25,7.232,NA,NA
M2100274,F1,2021,M,2,2-5,F1-2021-M,27.2,2.66,NA,NA,NA
W2100275,F1,2021,F,2,2-5,F1-2021-F,30.51,NA,NA,NA,NA
W2100276,F2,2021,F,1,2-5,F2-2021-F,25.46,NA,6.67,NA,NA
W2100277,F1,2021,F,1,2-5,F1-2021-F,27.99,2.13,6.156,NA,NA
M2100278,F2,2021,M,3,2-5,F2-2021-M,35.61,NA,5.464,NA,NA
W2100279,F2,2021,F,3,2-5,F2-2021-F,19.33,2.04,6.064,2,F2-2022
W2100280,F2,2021,F,3,2-5,F2-2021-F,16.63,3.16,6.875,NA,NA
W2100281,F1,2021,F,1,2-5,F1-2021-F,27.37,3.4,NA,NA,NA
W2100282,F2,2021,F,2,2-5,F2-2021-F,25.53,2.72,6.996,1,F2-2022
W2100283,F2,2021,F,2,2-5,F2-2021-F,27.14,3.25,7.061,NA,NA
M2100284,F1,2021,M,2,2-5,F1-2021-M,24.51,2.68,NA,NA,NA
M2100285,F1,2021,M,2,2-5,F1-2021-M,27.34,NA,5.395,NA,NA
M2100286,F2,2021,M,2,2-5,F2-2021-M,38.13,3.66,7.579,NA,NA
M2100287,F2,2021,M,2,2-5,F2-2021-M,32.13,NA,6.368,NA,NA
M2100288,F1,2021,M,3,2-5,F1-2021-M,19.42,NA,NA,NA,NA
M2100289,F1,2021,M,3,2-5,F1-2021-M,20.46,NA,NA,NA,NA
W2100290,F1,2021,F,3,2-5,F1-2021-F,25.87,2.44,4.042,NA,NA
W2100291,F2,2021,F,3,2-5,F2-2021-F,19.84,3.76,5.331,NA,NA
W2100292,F2,2021,F,3,2-5,F2-2021-F,28.58,2.09,NA,NA,NA
W2100293,F2,2021,F,3,2-5,F2-2021-F,18.22,NA,NA,NA,NA
M2200294,F1,2022,M,1,2-5,F1-2022-M,31.75,2.44,8.072,NA,NA
W2200295,F2,2022,F,1,2-5,F2-2022-F,29.08,NA,NA,1,F2-2023
W2200296,F1,2022,F,1,2-5,F1-2022-F,34.92,2.62,NA,1,F1-2023
W2200297,F2,2022,F,3,2-5,F2-2022-F,23.82,NA,NA,2,F2-2023
M2200298,F2,2022,M,3,2-5,F2-2022-M,24.72,2.71,NA,NA,NA
W2200299,F2,2022,F,3,2-5,F2-2022-F,26.58,2.53,6.736,1,F2-2023
W2200300,F1,2022,F,1,2-5,F1-2022-F,27.65,3.59,5.499,NA,NA
M2200301,F2,2022,M,1,2-5,F2-2022-M,39.91,2.92,6.533,NA,NA
W2200302,F1,2022,F,2,2-5,F1-2022-F,29.69,1.4,NA,NA,NA
W2200303,F1,2022,F,2,2-5,F1-2022-F,33.26,NA,3.834,NA,NA
M2200304,F2,2022,M,1,2-5,F2-2022-M,35.07,NA,NA,NA,NA
W2200305,F1,2022,F,1,2-5,F1-2022-F,23.79,1.79,6.711,NA,NA
M2200306,F2,2022,M,2,2-5,F2-2022-M,28.69,NA,NA,NA,NA
M2200307,F2,2022,M,2,2-5,F2-2022-M,24.15,NA,6.512,NA,NA
M2200308,F1,2022,M,2,2-5,F1-2022-M,32.67,1.76,5.998,NA,NA
M2200309,F1,2022,M,2,2-5,F1-2022-M,36.33,NA,8.55,NA,NA
W2200310,F2,2022,F,2,2-5,F2-2022-F,19.73,3.2,6.081,NA,NA
W2200311,F2,2022,F,2,2-5,F2-2022-F,23.63,4.46,6.283,NA,NA
W2200312,F2,2022,F,2,2-5,F2-2022-F,33.59,2.1,6.327,NA,NA
