record_id,id,year,parity,flock,nlb
L2021-E0055,E0055,2021,1,F1,3
L2021-E0056,E0056,2021,1,F2,1
L2021-E0057,E0057,2021,1,F1,1
L2021-E0058,E0058,2021,1,F2,1
L2021-E0059,E0059,2021,1,F1,2
L2021-E0060,E0060,2021,1,F2,2
L2021-E0061,E0061,2021,1,F1,2
L2021-E0062,E0062,2021,1,F2,1
L2021-E0063,E0063,2021,1,F1,1
L2021-E0064,E0064,2021,1,F2,2
L2021-E0065,E0065,2021,1,F1,2
L2021-E0066,E0066,2021,1,F2,1
L2021-E0067,E0067,2021,1,F1,2
L2021-E0068,E0068,2021,1,F2,1
L2021-E0069,E0069,2021,1,F1,1
L2021-E0070,E0070,2021,1,F2,2
L2021-E0071,E0071,2021,1,F1,1
L2021-E0072,E0072,2021,1,F2,1
L2021-E0073,E0073,2021,1,F1,2
L2021-E0074,E0074,2021,1,F2,1
L2021-E0075,E0075,2021,1,F1,2
L2021-E0076,E0076,2021,1,F2,1
L2021-E0077,E0077,2021,1,F1,2
L2021-E0078,E0078,2021,1,F2,1
L2021-E0079,E0079,2021,1,F1,2
L2021-E0080,E0080,2021,1,F2,3
L2021-E0081,E0081,2021,1,F1,1
L2021-E0082,E0082,2021,1,F2,2
L2021-E0083,E0083,2021,1,F1,2
L2021-E0084,E0084,2021,1,F2,2
L2021-E0085,E0085,2021,1,F1,2
L2021-E0086,E0086,2021,1,F2,2
L2021-E0087,E0087,2021,1,F1,1
L2021-E0088,E0088,2021,1,F2,2
L2021-E0089,E0089,2021,1,F1,2
L2021-E0090,E0090,2021,1,F2,1
L2021-E0091,E0091,2021,1,F1,1
L2021-E0092,E0092,2021,1,F2,2
L2021-E0093,E0093,2021,1,F1,2
L2021-E0094,E0094,2021,1,F2,2
L2021-E0095,E0095,2021,1,F1,2
L2021-E0096,E0096,2021,1,F2,1
L2021-E0097,E0097,2021,1,F1,1
L2021-E0098,E0098,2021,1,F2,1
L2021-E0099,E0099,2021,1,F1,2
L2021-E0100,E0100,2021,1,F2,1
L2021-E0101,E0101,2021,1,F1,1
L2021-E0102,E0102,2021,1,F2,1
L2021-E0103,E0103,2021,1,F1,2
L2021-E0104,E0104,2021,1,F2,2
L2021-E0105,E0105,2021,1,F1,1
L2021-E0106,E0106,2021,1,F2,2
L2021-E0107,E0107,2021,1,F1,1
L2021-E0108,E0108,2021,1,F2,2
L2021-E0109,E0109,2021,1,F1,1
L2021-E0110,E0110,2021,1,F2,1
L2021-E0111,E0111,2021,1,F1,1
L2021-E0112,E0112,2021,1,F2,1
L2021-E0113,E0113,2021,1,F1,1
L2021-E0114,E0114,2021,1,F2,2
L2021-E0115,E0115,2021,1,F1,1
L2021-E0116,E0116,2021,1,F2,1
L2021-E0117,E0117,2021,1,F1,1
L2021-E0118,E0118,2021,1,F2,1
L2021-E0119,E0119,2021,1,F1,1
L2021-E0120,E0120,2021,1,F2,1
L2021-E0121,E0121,2021,1,F1,1
L2021-E0122,E0122,2021,1,F2,1
L2021-E0123,E0123,2021,1,F1,1
L2021-E0124,E0124,2021,1,F2,1
L2021-E0125,E0125,2021,1,F1,3
L2021-E0126,E0126,2021,1,F2,1
L2021-E0127,E0127,2021,1,F1,2
L2021-E0128,E0128,2021,1,F2,1
L2021-E0129,E0129,2021,1,F1,1
L2021-E0130,E0130,2021,1,F2,2
L2021-E0131,E0131,2021,1,F1,2
L2021-E0132,E0132,2021,1,F2,1
L2021-E0133,E0133,2021,1,F1,1
L2021-E0134,E0134,2021,1,F2,1
L2021-E0135,E0135,2021,1,F1,1
L2021-E0136,E0136,2021,1,F2,1
L2021-E0137,E0137,2021,1,F1,1
L2021-E0138,E0138,2021,1,F2,1
L2021-E0139,E0139,2021,1,F1,1
L2021-E0140,E0140,2021,1,F2,1
L2021-E0141,E0141,2021,1,F1,3
L2021-E0142,E0142,2021,1,F2,1
L2021-E0143,E0143,2021,1,F1,1
L2021-E0144,E0144,2021,1,F2,2
L2021-E0145,E0145,2021,1,F1,1
L2021-E0146,E0146,2021,1,F2,1
L2021-E0147,E0147,2021,1,F1,1
L2021-E0148,E0148,2021,1,F2,2
L2021-E0149,E0149,2021,1,F1,1
L2021-E0150,E0150,2021,1,F2,1
L2021-E0151,E0151,2021,1,F1,1
L2021-E0152,E0152,2021,1,F2,3
L2021-E0153,E0153,2021,1,F1,1
L2021-E0154,E0154,2021,1,F2,2
L2021-E0155,E0155,2021,1,F1,1
L2021-E0156,E0156,2021,1,F2,1
L2021-E0157,E0157,2021,1,F1,1
L2021-E0158,E0158,2021,1,F2,1
L2021-E0159,E0159,2021,1,F1,1
L2021-E0160,E0160,2021,1,F2,2
L2021-E0161,E0161,2021,1,F1,2
L2021-E0162,E0162,2021,1,F2,2
L2021-E0163,E0163,2021,1,F1,1
L2021-E0164,E0164,2021,1,F2,2
L2021-E0165,E0165,2021,1,F1,1
L2021-E0166,E0166,2021,1,F2,1
L2021-E0167,E0167,2021,1,F1,1
L2021-E0168,E0168,2021,1,F2,2
L2021-E0169,E0169,2021,1,F1,2
L2021-E0170,E0170,2021,1,F2,1
L2021-E0171,E0171,2021,1,F1,3
L2021-E0172,E0172,2021,1,F2,2
L2021-E0173,E0173,2021,1,F1,1
L2021-E0174,E0174,2021,1,F2,2
L2021-E0175,E0175,2021,1,F1,2
L2021-E0176,E0176,2021,1,F2,1
L2021-E0177,E0177,2021,1,F1,2
L2021-E0178,E0178,2021,1,F2,1
L2021-E0179,E0179,2021,1,F1,1
L2021-E0180,E0180,2021,1,F2,1
L2021-E0181,E0181,2021,1,F1,1
L2021-E0182,E0182,2021,1,F2,1
L2021-E0183,E0183,2021,1,F1,1
L2021-E0184,E0184,2021,1,F2,2
L2021-E0185,E0185,2021,1,F1,1
L2021-E0186,E0186,2021,1,F2,1
L2021-E0187,E0187,2021,1,F1,3
L2021-E0188,E0188,2021,1,F2,2
L2021-E0189,E0189,2021,1,F1,1
L2021-E0190,E0190,2021,1,F2,2
L2021-E0191,E0191,2021,1,F1,2
L2021-E0192,E0192,2021,1,F2,1
L2021-E0193,E0193,2021,1,F1,1
L2021-E0194,E0194,2021,1,F2,3
L2021-E0195,E0195,2021,1,F1,1
L2021-E0196,E0196,2021,1,F2,2
L2021-E0197,E0197,2021,1,F1,2
L2021-E0198,E0198,2021,1,F2,2
L2021-E0199,E0199,2021,1,F1,3
L2021-E0200,E0200,2021,1,F2,3
L2022-E0001,E0001,2022,2,F1,1
L2022-E0002,E0002,2022,2,F2,1
L2022-E0003,E0003,2022,2,F1,1
L2022-E0004,E0004,2022,2,F2,3
L2022-E0005,E0005,2022,2,F1,1
L2022-E0006,E0006,2022,2,F2,1
L2022-E0007,E0007,2022,2,F1,2
L2022-E0008,E0008,2022,2,F2,1
L2022-E0009,E0009,2022,2,F1,1
L2022-E0010,E0010,2022,2,F2,2
L2022-E0011,E0011,2022,2,F1,2
L2022-E0012,E0012,2022,2,F2,2
L2022-E0014,E0014,2022,2,F2,2
L2022-E0015,E0015,2022,2,F1,3
L2022-E0016,E0016,2022,2,F2,1
L2022-E0017,E0017,2022,2,F1,1
L2022-E0018,E0018,2022,2,F2,1
L2022-E0019,E0019,2022,2,F1,2
L2022-E0020,E0020,2022,2,F2,2
L2022-E0021,E0021,2022,2,F1,1
L2022-E0022,E0022,2022,2,F2,1
L2022-E0023,E0023,2022,2,F1,1
L2022-E0024,E0024,2022,2,F2,1
L2022-E0025,E0025,2022,2,F1,3
L2022-E0026,E0026,2022,2,F2,2
L2022-E0028,E0028,2022,2,F2,1
L2022-E0030,E0030,2022,2,F2,1
L2022-E0031,E0031,2022,2,F1,1
L2022-E0033,E0033,2022,2,F1,2
L2022-E0036,E0036,2022,2,F2,1
L2022-E0038,E0038,2022,2,F2,2
L2022-E0039,E0039,2022,2,F1,1
L2022-E0040,E0040,2022,2,F2,2
L2022-E0041,E0041,2022,2,F1,3
L2022-E0042,E0042,2022,2,F2,3
L2022-E0045,E0045,2022,2,F1,1
L2022-E0046,E0046,2022,2,F2,1
L2022-E0047,E0047,2022,2,F1,2
L2022-E0048,E0048,2022,2,F2,2
L2022-E0049,E0049,2022,2,F1,2
L2022-E0050,E0050,2022,2,F2,1
L2022-E0051,E0051,2022,2,F1,2
L2022-E0052,E0052,2022,2,F2,2
L2022-E0053,E0053,2022,2,F1,2
L2022-E0054,E0054,2022,2,F2,1
L2022-E0055,E0055,2022,2,F1,2
L2022-E0056,E0056,2022,2,F2,1
L2022-E0057,E0057,2022,2,F1,1
L2022-E0058,E0058,2022,2,F2,1
L2022-E0060,E0060,2022,2,F2,1
L2022-E0061,E0061,2022,2,F1,2
L2022-E0062,E0062,2022,2,F2,2
L2022-E0063,E0063,2022,2,F1,2
L2022-E0064,E0064,2022,2,F2,3
L2022-E0065,E0065,2022,2,F1,1
L2022-E0066,E0066,2022,2,F2,2
L2022-E0067,E0067,2022,2,F1,1
L2022-E0068,E0068,2022,2,F2,2
L2022-E0069,E0069,2022,2,F1,1
L2022-E0070,E0070,2022,2,F2,1
L2022-E0071,E0071,2022,2,F1,1
L2022-E0072,E0072,2022,2,F2,1
L2022-E0073,E0073,2022,2,F1,2
L2022-E0074,E0074,2022,2,F2,3
L2022-E0075,E0075,2022,2,F1,1
L2022-E0076,E0076,2022,2,F2,3
L2022-E0078,E0078,2022,2,F2,3
L2022-E0079,E0079,2022,2,F1,2
L2022-E0081,E0081,2022,2,F1,1
L2022-E0083,E0083,2022,2,F1,1
L2022-E0084,E0084,2022,2,F2,2
L2022-E0085,E0085,2022,2,F1,2
L2022-E0087,E0087,2022,2,F1,1
L2022-E0088,E0088,2022,2,F2,2
L2022-E0089,E0089,2022,2,F1,2
L2022-E0091,E0091,2022,2,F1,2
L2022-E0092,E0092,2022,2,F2,1
L2022-E0094,E0094,2022,2,F2,3
L2022-E0095,E0095,2022,2,F1,2
L2022-E0096,E0096,2022,2,F2,2
L2022-E0097,E0097,2022,2,F1,2
L2022-E0098,E0098,2022,2,F2,2
L2022-E0100,E0100,2022,2,F2,1
L2022-E0101,E0101,2022,2,F1,1
L2022-E0102,E0102,2022,2,F2,2
L2022-E0103,E0103,2022,2,F1,2
L2022-E0104,E0104,2022,2,F2,1
L2022-E0105,E0105,2022,2,F1,1
L2022-E0106,E0106,2022,2,F2,1
L2022-E0107,E0107,2022,2,F1,1
L2022-E0109,E0109,2022,2,F1,1
L2022-E0110,E0110,2022,2,F2,1
L2022-E0111,E0111,2022,2,F1,1
L2022-E0113,E0113,2022,2,F1,2
L2022-E0114,E0114,2022,2,F2,3
L2022-E0115,E0115,2022,2,F1,1
L2022-E0117,E0117,2022,2,F1,2
L2022-E0118,E0118,2022,2,F2,1
L2022-E0119,E0119,2022,2,F1,1
L2022-E0120,E0120,2022,2,F2,1
L2022-E0121,E0121,2022,2,F1,2
L2022-E0122,E0122,2022,2,F2,1
L2022-E0123,E0123,2022,2,F1,1
L2022-E0124,E0124,2022,2,F2,2
L2022-E0125,E0125,2022,2,F1,2
L2022-E0126,E0126,2022,2,F2,3
L2022-E0127,E0127,2022,2,F1,1
L2022-E0128,E0128,2022,2,F2,1
L2022-E0129,E0129,2022,2,F1,1
L2022-E0131,E0131,2022,2,F1,1
L2022-E0132,E0132,2022,2,F2,1
L2022-E0133,E0133,2022,2,F1,2
L2022-E0134,E0134,2022,2,F2,2
L2022-E0136,E0136,2022,2,F2,2
L2022-E0137,E0137,2022,2,F1,2
L2022-E0138,E0138,2022,2,F2,1
L2022-E0139,E0139,2022,2,F1,2
L2022-E0140,E0140,2022,2,F2,3
L2022-E0141,E0141,2022,2,F1,1
L2022-E0142,E0142,2022,2,F2,3
L2022-E0143,E0143,2022,2,F1,2
L2022-E0144,E0144,2022,2,F2,2
L2022-E0146,E0146,2022,2,F2,2
L2022-E0147,E0147,2022,2,F1,1
L2022-E0148,E0148,2022,2,F2,2
L2022-E0149,E0149,2022,2,F1,1
L2022-E0150,E0150,2022,2,F2,3
L2022-E0151,E0151,2022,2,F1,3
L2022-E0152,E0152,2022,2,F2,2
L2022-E0155,E0155,2022,2,F1,1
L2022-E0156,E0156,2022,2,F2,1
L2022-E0157,E0157,2022,2,F1,1
L2022-E0158,E0158,2022,2,F2,2
L2022-E0159,E0159,2022,2,F1,2
L2022-E0160,E0160,2022,2,F2,1
L2022-E0161,E0161,2022,2,F1,2
L2022-E0162,E0162,2022,2,F2,1
L2022-E0163,E0163,2022,2,F1,2
L2022-E0164,E0164,2022,2,F2,2
L2022-E0165,E0165,2022,2,F1,1
L2022-E0166,E0166,2022,2,F2,1
L2022-E0167,E0167,2022,2,F1,2
L2022-E0168,E0168,2022,2,F2,2
L2022-E0169,E0169,2022,2,F1,2
L2022-E0170,E0170,2022,2,F2,1
L2022-E0171,E0171,2022,2,F1,1
L2022-E0172,E0172,2022,2,F2,2
L2022-E0173,E0173,2022,2,F1,2
L2022-E0174,E0174,2022,2,F2,2
L2022-E0176,E0176,2022,2,F2,2
L2022-E0177,E0177,2022,2,F1,1
L2022-E0178,E0178,2022,2,F2,2
L2022-E0179,E0179,2022,2,F1,1
L2022-E0180,E0180,2022,2,F2,2
L2022-E0181,E0181,2022,2,F1,1
L2022-E0182,E0182,2022,2,F2,2
L2022-E0183,E0183,2022,2,F1,1
L2022-E0185,E0185,2022,2,F1,2
L2022-E0186,E0186,2022,2,F2,1
L2022-E0187,E0187,2022,2,F1,2
L2022-E0188,E0188,2022,2,F2,2
L2022-E0189,E0189,2022,2,F1,1
L2022-E0190,E0190,2022,2,F2,1
L2022-E0191,E0191,2022,2,F1,1
L2022-E0192,E0192,2022,2,F2,1
L2022-E0193,E0193,2022,2,F1,2
L2022-E0194,E0194,2022,2,F2,3
L2022-E0195,E0195,2022,2,F1,1
L2022-E0197,E0197,2022,2,F1,2
L2022-E0198,E0198,2022,2,F2,1
L2022-E0199,E0199,2022,2,F1,1
L2022-E0200,E0200,2022,2,F2,1
L2022-W2100003,W2100003,2022,1,F2,1
L2022-W2100008,W2100008,2022,1,F2,1
L2022-W2100020,W2100020,2022,1,F2,2
L2022-W2100022,W2100022,2022,1,F1,2
L2022-W2100030,W2100030,2022,1,F2,3
L2022-W2100031,W2100031,2022,1,F1,1
L2022-W2100034,W2100034,2022,1,F1,2
L2022-W2100036,W2100036,2022,1,F1,1
L2022-W2100037,W2100037,2022,1,F2,1
L2022-W2100038,W2100038,2022,1,F1,1
L2022-W2100052,W2100052,2022,1,F1,2
L2022-W2100059,W2100059,2022,1,F2,1
L2022-W2100060,W2100060,2022,1,F2,2
L2022-W2100064,W2100064,2022,1,F2,2
L2022-W2100071,W2100071,2022,1,F2,1
L2022-W2100074,W2100074,2022,1,F2,1
L2022-W2100079,W2100079,2022,1,F1,2
L2022-W2100090,W2100090,2022,1,F1,1
L2022-W2100098,W2100098,2022,1,F2,1
L2022-W2100100,W2100100,2022,1,F2,2
L2022-W2100105,W2100105,2022,1,F1,1
L2022-W2100108,W2100108,2022,1,F1,1
L2022-W2100110,W2100110,2022,1,F1,1
L2022-W2100115,W2100115,2022,1,F2,1
L2022-W2100122,W2100122,2022,1,F1,1
L2022-W2100123,W2100123,2022,1,F2,1
L2022-W2100141,W2100141,2022,1,F2,1
L2022-W2100142,W2100142,2022,1,F1,1
L2022-W2100148,W2100148,2022,1,F1,1
L2022-W2100158,W2100158,2022,1,F2,2
L2022-W2100165,W2100165,2022,1,F2,2
L2022-W2100173,W2100173,2022,1,F1,1
L2022-W2100176,W2100176,2022,1,F2,2
L2022-W2100178,W2100178,2022,1,F2,3
L2022-W2100180,W2100180,2022,1,F1,1
L2022-W2100191,W2100191,2022,1,F2,1
L2022-W2100201,W2100201,2022,1,F1,2
L2022-W2100205,W2100205,2022,1,F2,2
L2022-W2100206,W2100206,2022,1,F2,2
L2022-W2100214,W2100214,2022,1,F1,2
L2022-W2100216,W2100216,2022,1,F2,1
L2022-W2100218,W2100218,2022,1,F1,2
L2022-W2100230,W2100230,2022,1,F2,2
L2022-W2100237,W2100237,2022,1,F1,1
L2022-W2100245,W2100245,2022,1,F1,2
L2022-W2100254,W2100254,2022,1,F1,2
L2022-W2100256,W2100256,2022,1,F2,1
L2022-W2100259,W2100259,2022,1,F1,1
L2022-W2100261,W2100261,2022,1,F1,2
L2022-W2100279,W2100279,2022,1,F2,2
L2022-W2100282,W2100282,2022,1,F2,1
L2023-E0001,E0001,2023,3,F1,1
L2023-E0002,E0002,2023,3,F2,2
L2023-E0003,E0003,2023,3,F1,2
L2023-E0004,E0004,2023,3,F2,3
L2023-E0006,E0006,2023,3,F2,1
L2023-E0007,E0007,2023,3,F1,1
L2023-E0008,E0008,2023,3,F2,1
L2023-E0010,E0010,2023,3,F2,3
L2023-E0011,E0011,2023,3,F1,2
L2023-E0012,E0012,2023,3,F2,2
L2023-E0014,E0014,2023,3,F2,2
L2023-E0016,E0016,2023,3,F2,2
L2023-E0019,E0019,2023,3,F1,1
L2023-E0020,E0020,2023,3,F2,2
L2023-E0021,E0021,2023,3,F1,1
L2023-E0022,E0022,2023,3,F2,1
L2023-E0024,E0024,2023,3,F2,2
L2023-E0025,E0025,2023,3,F1,1
L2023-E0026,E0026,2023,3,F2,1
L2023-E0028,E0028,2023,3,F2,1
L2023-E0030,E0030,2023,3,F2,2
L2023-E0031,E0031,2023,3,F1,1
L2023-E0033,E0033,2023,3,F1,1
L2023-E0036,E0036,2023,3,F2,1
L2023-E0038,E0038,2023,3,F2,1
L2023-E0039,E0039,2023,3,F1,2
L2023-E0041,E0041,2023,3,F1,2
L2023-E0042,E0042,2023,3,F2,3
L2023-E0045,E0045,2023,3,F1,2
L2023-E0046,E0046,2023,3,F2,1
L2023-E0047,E0047,2023,3,F1,2
L2023-E0048,E0048,2023,3,F2,1
L2023-E0049,E0049,2023,3,F1,2
L2023-E0050,E0050,2023,3,F2,2
L2023-E0051,E0051,2023,3,F1,1
L2023-E0052,E0052,2023,3,F2,1
L2023-E0053,E0053,2023,3,F1,2
L2023-E0055,E0055,2023,3,F1,2
L2023-E0057,E0057,2023,3,F1,1
L2023-E0058,E0058,2023,3,F2,1
L2023-E0060,E0060,2023,3,F2,2
L2023-E0061,E0061,2023,3,F1,2
L2023-E0062,E0062,2023,3,F2,2
L2023-E0063,E0063,2023,3,F1,2
L2023-E0064,E0064,2023,3,F2,1
L2023-E0065,E0065,2023,3,F1,1
L2023-E0066,E0066,2023,3,F2,1
L2023-E0067,E0067,2023,3,F1,2
L2023-E0069,E0069,2023,3,F1,1
L2023-E0070,E0070,2023,3,F2,1
L2023-E0073,E0073,2023,3,F1,3
L2023-E0074,E0074,2023,3,F2,2
L2023-E0075,E0075,2023,3,F1,2
L2023-E0076,E0076,2023,3,F2,2
L2023-E0078,E0078,2023,3,F2,1
L2023-E0079,E0079,2023,3,F1,1
L2023-E0081,E0081,2023,3,F1,1
L2023-E0083,E0083,2023,3,F1,1
L2023-E0084,E0084,2023,3,F2,1
L2023-E0085,E0085,2023,3,F1,2
L2023-E0087,E0087,2023,3,F1,1
L2023-E0088,E0088,2023,3,F2,2
L2023-E0089,E0089,2023,3,F1,3
L2023-E0091,E0091,2023,3,F1,2
L2023-E0092,E0092,2023,3,F2,1
L2023-E0095,E0095,2023,3,F1,3
L2023-E0096,E0096,2023,3,F2,2
L2023-E0098,E0098,2023,3,F2,2
L2023-E0100,E0100,2023,3,F2,2
L2023-E0101,E0101,2023,3,F1,2
L2023-E0102,E0102,2023,3,F2,2
L2023-E0103,E0103,2023,3,F1,2
L2023-E0104,E0104,2023,3,F2,2
L2023-E0105,E0105,2023,3,F1,1
L2023-E0106,E0106,2023,3,F2,2
L2023-E0107,E0107,2023,3,F1,1
L2023-E0109,E0109,2023,3,F1,1
L2023-E0110,E0110,2023,3,F2,1
L2023-E0111,E0111,2023,3,F1,1
L2023-E0113,E0113,2023,3,F1,1
L2023-E0114,E0114,2023,3,F2,2
L2023-E0115,E0115,2023,3,F1,3
L2023-E0117,E0117,2023,3,F1,3
L2023-E0118,E0118,2023,3,F2,1
L2023-E0119,E0119,2023,3,F1,2
L2023-E0120,E0120,2023,3,F2,2
L2023-E0121,E0121,2023,3,F1,2
L2023-E0122,E0122,2023,3,F2,1
L2023-E0124,E0124,2023,3,F2,2
L2023-E0125,E0125,2023,3,F1,2
L2023-E0126,E0126,2023,3,F2,1
L2023-E0127,E0127,2023,3,F1,3
L2023-E0128,E0128,2023,3,F2,1
L2023-E0129,E0129,2023,3,F1,1
L2023-E0132,E0132,2023,3,F2,2
L2023-E0133,E0133,2023,3,F1,2
L2023-E0134,E0134,2023,3,F2,1
L2023-E0136,E0136,2023,3,F2,2
L2023-E0137,E0137,2023,3,F1,2
L2023-E0138,E0138,2023,3,F2,2
L2023-E0140,E0140,2023,3,F2,2
L2023-E0141,E0141,2023,3,F1,2
L2023-E0142,E0142,2023,3,F2,1
L2023-E0143,E0143,2023,3,F1,2
L2023-E0144,E0144,2023,3,F2,3
L2023-E0146,E0146,2023,3,F2,2
L2023-E0147,E0147,2023,3,F1,1
L2023-E0148,E0148,2023,3,F2,2
L2023-E0149,E0149,2023,3,F1,3
L2023-E0150,E0150,2023,3,F2,2
L2023-E0151,E0151,2023,3,F1,1
L2023-E0155,E0155,2023,3,F1,2
L2023-E0156,E0156,2023,3,F2,2
L2023-E0158,E0158,2023,3,F2,2
L2023-E0159,E0159,2023,3,F1,3
L2023-E0160,E0160,2023,3,F2,2
L2023-E0161,E0161,2023,3,F1,1
L2023-E0163,E0163,2023,3,F1,2
L2023-E0164,E0164,2023,3,F2,1
L2023-E0165,E0165,2023,3,F1,2
L2023-E0167,E0167,2023,3,F1,2
L2023-E0170,E0170,2023,3,F2,2
L2023-E0171,E0171,2023,3,F1,2
L2023-E0172,E0172,2023,3,F2,2
L2023-E0173,E0173,2023,3,F1,2
L2023-E0174,E0174,2023,3,F2,3
L2023-E0177,E0177,2023,3,F1,1
L2023-E0178,E0178,2023,3,F2,1
L2023-E0179,E0179,2023,3,F1,1
L2023-E0181,E0181,2023,3,F1,1
L2023-E0182,E0182,2023,3,F2,1
L2023-E0183,E0183,2023,3,F1,2
L2023-E0185,E0185,2023,3,F1,3
L2023-E0186,E0186,2023,3,F2,1
L2023-E0187,E0187,2023,3,F1,1
L2023-E0188,E0188,2023,3,F2,2
L2023-E0189,E0189,2023,3,F1,1
L2023-E0190,E0190,2023,3,F2,2
L2023-E0191,E0191,2023,3,F1,1
L2023-E0192,E0192,2023,3,F2,1
L2023-E0193,E0193,2023,3,F1,1
L2023-E0194,E0194,2023,3,F2,2
L2023-E0197,E0197,2023,3,F1,1
L2023-E0199,E0199,2023,3,F1,2
L2023-E0200,E0200,2023,3,F2,1
L2023-W2100003,W2100003,2023,2,F2,1
L2023-W2100020,W2100020,2023,2,F2,2
L2023-W2100022,W2100022,2023,2,F1,3
L2023-W2100030,W2100030,2023,2,F2,2
L2023-W2100031,W2100031,2023,2,F1,1
L2023-W2100034,W2100034,2023,2,F1,2
L2023-W2100036,W2100036,2023,2,F1,3
L2023-W2100037,W2100037,2023,2,F2,1
L2023-W2100038,W2100038,2023,2,F1,2
L2023-W2100059,W2100059,2023,2,F2,1
L2023-W2100060,W2100060,2023,2,F2,1
L2023-W2100064,W2100064,2023,2,F2,1
L2023-W2100071,W2100071,2023,2,F2,1
L2023-W2100074,W2100074,2023,2,F2,1
L2023-W2100079,W2100079,2023,2,F1,2
L2023-W2100090,W2100090,2023,2,F1,2
L2023-W2100098,W2100098,2023,2,F2,2
L2023-W2100100,W2100100,2023,2,F2,2
L2023-W2100105,W2100105,2023,2,F1,1
L2023-W2100108,W2100108,2023,2,F1,1
L2023-W2100110,W2100110,2023,2,F1,2
L2023-W2100115,W2100115,2023,2,F2,1
L2023-W2100122,W2100122,2023,2,F1,2
L2023-W2100123,W2100123,2023,2,F2,1
L2023-W2100141,W2100141,2023,2,F2,1
L2023-W2100142,W2100142,2023,2,F1,2
L2023-W2100148,W2100148,2023,2,F1,1
L2023-W2100158,W2100158,2023,2,F2,1
L2023-W2100165,W2100165,2023,2,F2,1
L2023-W2100173,W2100173,2023,2,F1,2
L2023-W2100176,W2100176,2023,2,F2,2
L2023-W2100178,W2100178,2023,2,F2,1
L2023-W2100191,W2100191,2023,2,F2,2
L2023-W2100201,W2100201,2023,2,F1,2
L2023-W2100205,W2100205,2023,2,F2,1
L2023-W2100206,W2100206,2023,2,F2,1
L2023-W2100214,W2100214,2023,2,F1,3
L2023-W2100230,W2100230,2023,2,F2,2
L2023-W2100237,W2100237,2023,2,F1,2
L2023-W2100245,W2100245,2023,2,F1,2
L2023-W2100254,W2100254,2023,2,F1,1
L2023-W2100256,W2100256,2023,2,F2,1
L2023-W2100259,W2100259,2023,2,F1,1
L2023-W2100261,W2100261,2023,2,F1,3
L2023-W2100279,W2100279,2023,2,F2,2
L2023-W2100282,W2100282,2023,2,F2,1
L2023-W2200295,W2200295,2023,1,F2,1
L2023-W2200296,W2200296,2023,1,F1,1
L2023-W2200297,W2200297,2023,1,F2,2
L2023-W2200299,W2200299,2023,1,F2,1
L2023-W2200314,W2200314,2023,1,F1,1
L2023-W2200318,W2200318,2023,1,F1,2
L2023-W2200327,W2200327,2023,1,F2,3
L2023-W2200329,W2200329,2023,1,F1,2
L2023-W2200331,W2200331,2023,1,F2,1
L2023-W2200338,W2200338,2023,1,F2,1
