id,sex,year,wwt
L170045,F,2017,29.03
L170046,F,2017,28.48
L170047,M,2017,30.17
L170048,F,2017,29.23
L170049,M,2017,36.66
L170050,F,2017,31.17
L170051,M,2017,26.34
L170052,F,2017,29.19
L170053,F,2017,34.25
L170054,M,2017,33.59
L170055,F,2017,31.22
L170056,F,2017,35.79
L170057,F,2017,28.84
L170058,M,2017,34.53
L170059,M,2017,34.21
L170060,F,2017,32.11
L170061,F,2017,27.89
L170062,F,2017,31.14
L170063,M,2017,32.89
L170064,M,2017,27.98
L170065,M,2017,29.37
L170066,F,2017,32.85
L170067,F,2017,31.70
L170068,F,2017,26.95
L170069,F,2017,32.08
L170070,M,2017,32.61
L170071,M,2017,31.52
L170072,F,2017,29.47
L170073,M,2017,38.51
L170074,M,2017,36.04
L170075,M,2017,36.37
L170076,F,2017,32.79
L170077,F,2017,33.21
L170078,F,2017,32.31
L170079,M,2017,40.99
L170080,F,2017,32.19
L170081,F,2017,25.81
L170082,M,2017,32.70
L170083,F,2017,32.12
L170084,F,2017,35.88
L170085,F,2017,28.24
L170086,F,2017,26.82
L170087,F,2017,31.58
L170088,M,2017,37.11
L170089,M,2017,33.44
L170090,F,2017,27.34
L170091,F,2017,37.48
L170092,F,2017,23.46
L170093,F,2017,26.48
L170094,F,2017,34.64
L170095,F,2017,33.14
L170096,F,2017,30.78
L170097,F,2017,34.28
L170098,M,2017,27.42
L170099,M,2017,38.14
L170100,M,2017,35.44
L170101,F,2017,26.27
L170102,M,2017,29.61
L170103,F,2017,35.71
L170104,F,2017,31.17
L170105,M,2017,28.25
L170106,F,2017,27.45
L170107,F,2017,28.93
L170108,F,2017,22.23
L170109,F,2017,29.06
L170110,F,2017,34.50
L170111,M,2017,40.30
L170112,M,2017,38.56
L170113,F,2017,28.08
L170114,M,2017,37.31
L170115,M,2017,35.53
L170116,F,2017,29.57
L170117,F,2017,30.01
L170118,M,2017,33.05
L170119,F,2017,26.83
L170120,F,2017,28.49
L170121,F,2017,31.37
L170122,M,2017,29.17
L170123,F,2017,26.82
L170124,F,2017,24.83
L170125,M,2017,39.34
L170126,F,2017,28.39
L170127,F,2017,34.98
L170128,M,2017,31.07
L170129,F,2017,30.94
L170130,M,2017,41.56
L170131,F,2017,29.24
L170132,F,2017,30.71
L170133,F,2017,31.64
L170134,F,2017,30.16
L170135,M,2017,35.52
L170136,F,2017,31.27
L170137,F,2017,27.28
L170138,M,2017,26.35
L170139,F,2017,37.38
L170140,M,2017,37.49
L170141,F,2017,24.79
L170142,M,2017,30.19
L170143,F,2017,34.99
L170144,F,2017,26.46
L170145,F,2017,28.94
L170146,F,2017,35.43
L170147,F,2017,25.05
L170148,F,2017,30.09
L170149,M,2017,34.56
L170150,F,2017,34.94
L180001,M,2018,40.07
L180002,F,2018,23.92
L180003,M,2018,37.96
L180004,M,2018,39.49
L180005,F,2018,38.46
L180006,M,2018,30.29
L180007,F,2018,32.34
L180008,M,2018,37.76
L180009,F,2018,34.18
L180010,M,2018,41.55
L180011,F,2018,31.94
L180012,M,2018,30.33
L180013,M,2018,31.26
L180014,F,2018,36.32
L180015,M,2018,32.42
L180016,M,2018,35.96
L180017,F,2018,33.95
L180018,M,2018,38.86
L180019,F,2018,35.09
L180020,F,2018,31.96
L180021,M,2018,37.25
L180022,F,2018,31.14
L180023,F,2018,36.16
L180024,F,2018,36.99
L180025,M,2018,38.13
L180026,F,2018,34.42
L180027,M,2018,35.30
L180028,M,2018,33.92
L180029,M,2018,30.91
L180030,F,2018,28.27
L180031,M,2018,31.94
L180032,M,2018,33.83
L180033,F,2018,30.98
L180034,F,2018,39.30
L180035,F,2018,28.27
L180036,M,2018,32.14
L180037,F,2018,32.93
L180038,M,2018,40.42
L180039,F,2018,19.37
L180040,M,2018,25.44
L180041,M,2018,34.52
L180042,F,2018,37.01
L180043,F,2018,25.93
L180044,F,2018,33.21
L180045,F,2018,37.85
L180046,F,2018,33.95
L180047,F,2018,24.58
L180048,F,2018,36.32
L180049,M,2018,27.33
L180050,M,2018,41.87
L180051,M,2018,31.88
L180052,F,2018,29.30
L180053,F,2018,33.12
L180054,M,2018,39.61
L180055,F,2018,29.82
L180056,M,2018,36.51
L180057,M,2018,33.37
L180058,F,2018,33.48
L180059,F,2018,24.11
L180060,M,2018,35.99
L180061,M,2018,39.51
L180062,M,2018,42.94
L180063,F,2018,37.80
L180064,F,2018,25.33
L180065,M,2018,33.70
L180066,F,2018,33.77
L180067,M,2018,30.17
L180068,M,2018,33.19
L180069,M,2018,33.05
L180070,M,2018,32.64
L180071,M,2018,42.74
L180072,F,2018,31.51
L180073,F,2018,34.70
L180074,M,2018,33.87
L180075,F,2018,29.21
L180076,M,2018,33.10
L180077,M,2018,33.08
L180078,F,2018,40.62
L180079,F,2018,37.43
L180080,F,2018,38.21
L180081,F,2018,38.18
L180082,F,2018,36.31
L180083,M,2018,33.53
L180084,M,2018,35.44
L180085,M,2018,34.33
L180086,F,2018,31.53
L180087,M,2018,36.67
L180088,F,2018,31.96
L180089,F,2018,29.86
L180090,F,2018,23.90
L180091,F,2018,32.47
L180092,M,2018,42.48
L180093,M,2018,32.69
L180094,F,2018,28.72
L180095,F,2018,36.25
L180096,M,2018,30.95
L180097,M,2018,37.21
L180098,F,2018,32.99
L180099,F,2018,35.20
L180100,M,2018,37.38
L180101,M,2018,31.03
L180102,M,2018,28.76
L180103,F,2018,32.27
L180104,F,2018,35.78
L180105,M,2018,31.60
L180106,F,2018,37.70
L180107,F,2018,31.63
L180108,M,2018,34.86
L180109,F,2018,31.76
L180110,M,2018,40.33
L180111,M,2018,37.76
L180112,M,2018,33.33
L180113,F,2018,30.13
L180114,M,2018,30.56
L180115,M,2018,36.84
L180116,M,2018,31.58
L180117,M,2018,39.11
L180118,F,2018,33.42
L180119,F,2018,26.43
L180120,F,2018,34.94
L180121,M,2018,31.38
L180122,F,2018,29.62
L180123,M,2018,32.19
L180124,M,2018,35.83
L180125,F,2018,33.40
L180126,M,2018,34.74
L180127,M,2018,32.64
L180128,M,2018,34.52
L180129,M,2018,37.57
L180130,M,2018,32.26
L180131,M,2018,27.60
L180132,F,2018,32.27
L180133,F,2018,36.24
L180134,M,2018,34.75
L180135,M,2018,40.35
L180136,F,2018,36.43
L180137,F,2018,29.29
L180138,M,2018,37.91
L180139,F,2018,36.78
L180140,F,2018,33.41
L180141,M,2018,35.36
L180142,M,2018,44.66
L180143,M,2018,30.41
L180144,M,2018,32.07
L180145,M,2018,33.71
L180146,M,2018,39.67
L180147,F,2018,34.07
L180148,F,2018,26.88
L180149,M,2018,28.83
L180150,M,2018,30.83
L190001,F,2019,33.96
L190002,M,2019,31.74
L190003,M,2019,37.87
L190004,M,2019,31.15
L190005,F,2019,29.86
L190006,M,2019,33.94
L190007,M,2019,44.90
L190008,M,2019,29.20
L190009,M,2019,27.68
L190010,M,2019,27.66
L190011,F,2019,38.41
L190012,F,2019,35.16
L190013,M,2019,38.02
L190014,F,2019,36.98
L190015,F,2019,35.74
L190016,F,2019,24.93
L190017,M,2019,31.55
L190018,M,2019,35.20
L190019,F,2019,30.36
L190020,M,2019,30.56
L190021,F,2019,33.99
L190022,M,2019,31.61
L190023,M,2019,34.36
L190024,F,2019,28.94
L190025,M,2019,30.69
L190026,F,2019,30.25
L190027,M,2019,34.04
L190028,F,2019,30.07
L190029,M,2019,38.22
L190030,F,2019,34.09
L190031,F,2019,31.44
L190032,F,2019,35.28
L190033,M,2019,37.24
L190034,F,2019,31.58
L190035,F,2019,37.03
L190036,F,2019,26.30
L190037,M,2019,34.61
L190038,F,2019,27.25
L190039,F,2019,32.38
L190040,M,2019,35.50
L190041,M,2019,38.46
L190042,M,2019,34.17
L190043,F,2019,38.47
L190044,F,2019,26.62
L190045,F,2019,33.00
L190046,F,2019,27.91
L190047,M,2019,30.26
L190048,F,2019,30.07
L190049,F,2019,27.76
L190050,F,2019,23.57
L190051,M,2019,29.07
L190052,M,2019,37.24
L190053,F,2019,30.86
L190054,F,2019,33.25
L190055,F,2019,31.99
L190056,F,2019,26.45
L190057,F,2019,34.34
L190058,F,2019,31.42
L190059,F,2019,26.63
L190060,M,2019,28.92
L190061,F,2019,37.92
L190062,M,2019,31.92
L190063,M,2019,24.56
L190064,M,2019,31.96
L190065,F,2019,30.81
L190066,F,2019,34.34
L190067,M,2019,25.61
L190068,F,2019,35.94
L190069,M,2019,27.16
L190070,F,2019,34.01
L190071,M,2019,36.44
L190072,M,2019,32.93
L190073,F,2019,36.16
L190074,M,2019,42.06
L190075,F,2019,27.76
L190076,F,2019,31.88
L190077,F,2019,31.81
L190078,M,2019,35.80
L190079,F,2019,32.88
L190080,F,2019,31.94
L190081,F,2019,37.70
L190082,F,2019,39.12
L190083,F,2019,32.38
L190084,M,2019,29.57
L190085,M,2019,28.31
L190086,M,2019,29.82
L190087,F,2019,25.17
L190088,F,2019,22.36
L190089,F,2019,29.58
L190090,F,2019,30.81
L190091,M,2019,32.87
L190092,F,2019,33.24
L190093,F,2019,29.01
L190094,M,2019,30.48
L190095,F,2019,30.17
L190096,M,2019,35.59
L190097,M,2019,33.30
L190098,F,2019,33.18
L190099,F,2019,31.05
L190100,M,2019,35.29
L190101,M,2019,31.80
L190102,M,2019,30.47
L190103,M,2019,34.62
L190104,F,2019,33.17
L190105,M,2019,34.06
L190106,F,2019,41.08
L190107,M,2019,33.86
L190108,F,2019,30.22
L190109,M,2019,30.12
L190110,F,2019,32.41
L190111,F,2019,37.90
L190112,M,2019,36.12
L190113,M,2019,45.75
L190114,F,2019,24.23
L190115,F,2019,36.60
L190116,F,2019,32.53
L190117,F,2019,33.33
L190118,M,2019,22.49
L190119,M,2019,34.48
L190120,F,2019,36.47
L190121,F,2019,30.42
L190122,F,2019,34.88
L190123,M,2019,32.19
L190124,F,2019,36.61
L190125,M,2019,39.30
L190126,F,2019,38.82
L190127,M,2019,35.17
L190128,F,2019,30.31
L190129,F,2019,35.97
L190130,M,2019,33.72
L190131,F,2019,31.57
L190132,M,2019,38.90
L190133,M,2019,30.74
L190134,F,2019,33.14
L190135,M,2019,40.96
L190136,M,2019,36.00
L190137,F,2019,24.90
L190138,F,2019,30.74
L190139,M,2019,32.39
L190140,F,2019,26.70
L190141,M,2019,29.42
L190142,F,2019,25.08
L190143,F,2019,34.07
L190144,M,2019,37.39
L190145,F,2019,29.92
L190146,F,2019,34.27
L190147,M,2019,29.18
L190148,M,2019,35.92
L190149,F,2019,24.40
L190150,F,2019,37.26
L200001,F,2020,31.30
L200002,F,2020,33.14
L200003,F,2020,33.63
L200004,M,2020,35.30
L200005,F,2020,30.83
L200006,F,2020,29.86
L200007,M,2020,31.23
L200008,M,2020,30.48
L200009,F,2020,32.61
L200010,F,2020,32.14
L200011,M,2020,29.32
L200012,F,2020,27.59
L200013,M,2020,35.32
L200014,M,2020,33.09
L200015,M,2020,29.27
L200016,M,2020,32.19
L200017,F,2020,31.31
L200018,F,2020,24.11
L200019,M,2020,27.17
L200020,F,2020,26.30
L200021,M,2020,34.29
L200022,M,2020,32.91
L200023,M,2020,36.19
L200024,M,2020,34.24
L200025,M,2020,36.88
L200026,M,2020,29.74
L200027,M,2020,30.13
L200028,M,2020,31.47
L200029,F,2020,25.90
L200030,F,2020,29.27
L200031,F,2020,38.08
L200032,F,2020,27.92
L200033,M,2020,37.61
L200034,M,2020,38.29
L200035,F,2020,30.32
L200036,F,2020,28.63
L200037,M,2020,30.83
L200038,M,2020,39.27
L200039,M,2020,28.59
L200040,F,2020,28.67
L200041,F,2020,28.43
L200042,M,2020,33.61
L200043,M,2020,29.79
L200044,M,2020,35.83
L200045,F,2020,30.69
L200046,F,2020,37.69
L200047,M,2020,34.00
L200048,F,2020,35.36
L200049,F,2020,25.20
L200050,M,2020,29.83
L200051,M,2020,29.30
L200052,F,2020,28.75
L200053,F,2020,32.56
L200054,F,2020,32.32
L200055,M,2020,35.36
L200056,M,2020,38.01
L200057,F,2020,38.67
L200058,F,2020,25.32
L200059,F,2020,28.62
L200060,M,2020,41.28
L200061,F,2020,35.91
L200062,F,2020,31.96
L200063,F,2020,28.22
L200064,F,2020,35.91
L200065,M,2020,33.62
L200066,M,2020,39.02
L200067,M,2020,31.85
L200068,M,2020,27.09
L200069,M,2020,34.79
L200070,M,2020,40.33
L200071,M,2020,29.40
L200072,F,2020,24.11
L200073,M,2020,33.38
L200074,F,2020,28.62
L200075,F,2020,35.86
L200076,F,2020,35.95
L200077,M,2020,32.73
L200078,F,2020,33.85
L200079,F,2020,33.94
L200080,M,2020,25.88
L200081,M,2020,28.79
L200082,M,2020,33.41
L200083,F,2020,21.81
L200084,F,2020,28.60
L200085,F,2020,30.17
L200086,M,2020,24.46
L200087,F,2020,29.48
L200088,M,2020,33.28
L200089,F,2020,36.96
L200090,M,2020,38.05
L200091,F,2020,29.30
L200092,F,2020,35.39
L200093,M,2020,39.98
L200094,F,2020,34.98
L200095,F,2020,38.26
L200096,F,2020,32.70
L200097,M,2020,35.26
L200098,M,2020,33.57
L200099,M,2020,39.93
L200100,F,2020,36.47
L200101,F,2020,34.18
L200102,M,2020,35.86
L200103,F,2020,39.51
L200104,M,2020,31.96
L200105,F,2020,34.04
L200106,M,2020,30.70
L200107,F,2020,36.26
L200108,F,2020,34.61
L200109,M,2020,28.90
L200110,M,2020,35.33
L200111,M,2020,36.62
L200112,F,2020,36.29
L200113,F,2020,28.15
L200114,F,2020,33.84
L200115,M,2020,31.79
L200116,M,2020,30.55
L200117,M,2020,38.07
L200118,F,2020,28.23
L200119,F,2020,28.84
L200120,F,2020,34.97
L200121,M,2020,29.36
L200122,F,2020,33.27
L200123,M,2020,32.79
L200124,F,2020,28.53
L200125,F,2020,22.56
L200126,F,2020,31.33
L200127,F,2020,33.27
L200128,F,2020,33.01
L200129,M,2020,26.91
L200130,M,2020,30.02
L200131,F,2020,24.56
L200132,F,2020,32.74
L200133,F,2020,25.57
L200134,F,2020,31.19
L200135,M,2020,38.27
L200136,F,2020,32.21
L200137,F,2020,28.17
L200138,M,2020,34.55
L200139,F,2020,30.56
L200140,M,2020,33.12
L200141,F,2020,33.84
L200142,M,2020,28.86
L200143,F,2020,33.13
L200144,F,2020,31.49
L200145,M,2020,33.54
L200146,M,2020,28.88
L200147,M,2020,23.99
L200148,F,2020,25.12
L200149,F,2020,28.32
L200150,M,2020,31.33
L210001,F,2021,34.31
L210002,F,2021,36.76
L210003,M,2021,41.32
L210004,F,2021,31.55
L210005,F,2021,29.09
L210006,M,2021,35.27
L210007,F,2021,31.16
L210008,M,2021,33.93
L210009,F,2021,34.12
L210010,M,2021,35.77
L210011,M,2021,44.10
L210012,F,2021,36.58
L210013,F,2021,33.61
L210014,M,2021,40.46
L210015,M,2021,38.07
L210016,M,2021,29.78
L210017,F,2021,31.82
L210018,M,2021,43.29
L210019,F,2021,32.25
L210020,M,2021,38.44
L210021,M,2021,38.24
L210022,M,2021,32.87
L210023,F,2021,38.62
L210024,M,2021,33.17
L210025,M,2021,45.79
L210026,M,2021,35.90
L210027,M,2021,34.30
L210028,F,2021,31.19
L210029,M,2021,37.68
L210030,M,2021,32.13
L210031,F,2021,35.23
L210032,M,2021,33.92
L210033,M,2021,37.19
L210034,F,2021,31.04
L210035,F,2021,36.48
L210036,F,2021,34.03
L210037,M,2021,36.96
L210038,M,2021,31.15
L210039,M,2021,44.28
L210040,M,2021,37.67
L210041,M,2021,31.48
L210042,F,2021,32.23
L210043,M,2021,33.63
L210044,M,2021,37.32
L210045,M,2021,35.75
L210046,F,2021,35.46
L210047,F,2021,33.66
L210048,F,2021,35.81
L210049,F,2021,30.71
L210050,M,2021,36.46
L210051,F,2021,34.03
L210052,F,2021,31.88
L210053,M,2021,41.27
L210054,M,2021,34.40
L210055,M,2021,27.49
L210056,M,2021,39.33
L210057,M,2021,32.63
L210058,F,2021,31.58
L210059,M,2021,26.68
L210060,M,2021,39.26
L210061,F,2021,32.06
L210062,M,2021,39.14
L210063,F,2021,26.67
L210064,F,2021,26.21
L210065,M,2021,39.30
L210066,F,2021,34.35
L210067,M,2021,36.66
L210068,F,2021,35.57
L210069,M,2021,36.53
L210070,M,2021,26.33
L210071,M,2021,31.69
L210072,M,2021,31.68
L210073,M,2021,37.69
L210074,F,2021,33.05
L210075,F,2021,40.11
L210076,M,2021,37.81
L210077,F,2021,31.49
L210078,M,2021,33.49
L210079,F,2021,34.69
L210080,F,2021,35.13
L210081,M,2021,30.37
L210082,F,2021,35.01
L210083,M,2021,29.82
L210084,F,2021,38.24
L210085,M,2021,34.61
L210086,M,2021,40.10
L210087,M,2021,35.70
L210088,M,2021,31.72
L210089,F,2021,39.04
L210090,M,2021,35.52
L210091,F,2021,33.44
L210092,M,2021,30.17
L210093,F,2021,32.79
L210094,M,2021,31.54
L210095,F,2021,35.75
L210096,F,2021,44.50
L210097,F,2021,35.00
L210098,F,2021,27.57
L210099,F,2021,33.00
L210100,M,2021,35.89
L210101,M,2021,31.98
L210102,F,2021,44.84
L210103,M,2021,39.68
L210104,M,2021,38.64
L210105,M,2021,38.98
L210106,M,2021,39.79
L210107,F,2021,35.93
L210108,M,2021,33.09
L210109,M,2021,34.76
L210110,F,2021,40.44
L210111,M,2021,29.12
L210112,F,2021,33.12
L210113,M,2021,40.20
L210114,F,2021,34.86
L210115,F,2021,30.95
L210116,M,2021,33.61
L210117,M,2021,36.15
L210118,F,2021,35.71
L210119,M,2021,36.17
L210120,M,2021,39.70
L210121,M,2021,30.85
L210122,M,2021,34.27
L210123,M,2021,38.21
L210124,F,2021,37.48
L210125,F,2021,33.63
L210126,M,2021,40.10
L210127,F,2021,30.59
L210128,M,2021,39.81
L210129,F,2021,29.29
L210130,M,2021,33.78
L210131,M,2021,37.79
L210132,F,2021,35.15
L210133,F,2021,34.17
L210134,F,2021,37.25
L210135,F,2021,35.13
L210136,F,2021,38.75
L210137,F,2021,32.78
L210138,F,2021,29.98
L210139,M,2021,41.43
L210140,F,2021,32.36
L210141,M,2021,38.52
L210142,F,2021,31.68
L210143,F,2021,35.87
L210144,F,2021,29.13
L210145,F,2021,31.66
L210146,F,2021,29.58
L210147,M,2021,37.06
L210148,M,2021,35.38
L210149,M,2021,35.74
L210150,M,2021,34.22
L220001,M,2022,26.31
L220002,F,2022,18.19
L220003,M,2022,30.23
L220004,F,2022,27.97
L220005,M,2022,32.71
L220006,M,2022,26.53
L220007,M,2022,30.73
L220008,F,2022,37.19
L220009,F,2022,27.17
L220010,F,2022,35.14
L220011,F,2022,30.97
L220012,M,2022,28.26
L220013,M,2022,36.60
L220014,M,2022,32.58
L220015,M,2022,29.26
L220016,F,2022,30.85
L220017,M,2022,31.75
L220018,F,2022,37.43
L220019,M,2022,32.12
L220020,M,2022,32.25
L220021,M,2022,31.79
L220022,M,2022,27.50
L220023,M,2022,34.86
L220024,F,2022,26.69
L220025,F,2022,28.99
L220026,M,2022,24.86
L220027,F,2022,29.98
L220028,F,2022,27.67
L220029,M,2022,33.32
L220030,M,2022,33.01
L220031,F,2022,35.08
L220032,M,2022,36.68
L220033,F,2022,32.08
L220034,M,2022,30.30
L220035,F,2022,33.75
L220036,M,2022,26.57
L220037,M,2022,23.20
L220038,F,2022,28.51
L220039,F,2022,35.07
L220040,F,2022,29.79
L220041,F,2022,33.25
L220042,M,2022,31.55
L220043,M,2022,32.90
L220044,M,2022,26.29
L220045,F,2022,27.88
L220046,F,2022,29.31
L220047,F,2022,35.11
L220048,F,2022,35.35
L220049,F,2022,27.26
L220050,M,2022,41.68
L220051,M,2022,31.07
L220052,F,2022,36.48
L220053,F,2022,24.22
L220054,M,2022,30.23
L220055,M,2022,30.64
L220056,M,2022,27.27
L220057,F,2022,33.26
L220058,F,2022,36.01
L220059,F,2022,30.12
L220060,F,2022,22.16
L220061,F,2022,34.59
L220062,F,2022,31.08
L220063,M,2022,32.66
L220064,M,2022,26.13
L220065,M,2022,29.47
L220066,M,2022,34.39
L220067,M,2022,40.78
L220068,M,2022,37.46
L220069,F,2022,28.37
L220070,F,2022,29.22
L220071,F,2022,25.06
L220072,M,2022,37.83
L220073,M,2022,37.09
L220074,F,2022,31.96
L220075,M,2022,39.07
L220076,F,2022,38.23
L220077,F,2022,27.38
L220078,M,2022,33.46
L220079,M,2022,29.67
L220080,F,2022,27.28
L220081,M,2022,32.64
L220082,M,2022,36.34
L220083,F,2022,29.34
L220084,M,2022,26.78
L220085,M,2022,28.71
L220086,M,2022,30.41
L220087,F,2022,31.43
L220088,M,2022,30.24
L220089,F,2022,27.02
L220090,F,2022,31.47
L220091,F,2022,32.10
L220092,F,2022,32.72
L220093,F,2022,38.99
L220094,M,2022,34.94
L220095,M,2022,30.81
L220096,F,2022,33.49
L220097,M,2022,37.28
L220098,F,2022,37.58
L220099,F,2022,28.13
L220100,F,2022,31.50
L220101,F,2022,31.16
L220102,M,2022,25.93
L220103,M,2022,31.92
L220104,M,2022,33.71
L220105,F,2022,21.54
L220106,F,2022,29.24
L220107,F,2022,21.14
L220108,F,2022,32.55
L220109,M,2022,37.69
L220110,F,2022,24.01
L220111,F,2022,30.03
L220112,M,2022,24.23
L220113,F,2022,35.46
L220114,F,2022,32.33
L220115,M,2022,32.23
L220116,F,2022,33.28
L220117,F,2022,31.42
L220118,M,2022,23.93
L220119,F,2022,26.50
L220120,F,2022,24.74
L220121,F,2022,31.49
L220122,M,2022,37.97
L220123,F,2022,28.39
L220124,M,2022,37.53
L220125,F,2022,35.56
L220126,F,2022,25.96
L220127,M,2022,34.24
L220128,M,2022,35.34
L220129,M,2022,36.73
L220130,F,2022,29.10
L220131,F,2022,28.59
L220132,M,2022,33.34
L220133,M,2022,32.24
L220134,F,2022,33.12
L220135,F,2022,33.09
L220136,M,2022,31.85
L220137,M,2022,25.57
L220138,M,2022,29.91
L220139,F,2022,27.98
L220140,F,2022,38.35
L220141,M,2022,30.39
L220142,M,2022,35.30
L220143,F,2022,33.16
L220144,F,2022,33.06
L220145,M,2022,35.14
L220146,F,2022,32.94
L220147,M,2022,38.52
L220148,F,2022,33.34
L220149,M,2022,27.12
L220150,M,2022,37.67
L230001,M,2023,41.65
L230002,F,2023,35.76
L230003,M,2023,36.92
L230004,F,2023,35.62
L230005,M,2023,40.51
L230006,F,2023,32.73
L230007,M,2023,34.85
L230008,M,2023,36.52
L230009,F,2023,30.73
L230010,M,2023,31.91
L230011,F,2023,20.59
L230012,M,2023,27.74
L230013,F,2023,35.17
L230014,M,2023,40.37
L230015,F,2023,34.04
L230016,F,2023,32.17
L230017,F,2023,42.45
L230018,F,2023,32.93
L230019,F,2023,34.80
L230020,F,2023,30.47
L230021,M,2023,38.96
L230022,F,2023,35.26
L230023,M,2023,37.97
L230024,F,2023,36.79
L230025,F,2023,27.83
