id,sex,merit,capacity,carrier
W2401384,F,5.535334,1,0.1
W2401385,F,5.004205,1,0.1
W2401386,F,2.516865,1,1.0
W2401391,F,5.228754,1,0.0
W2401392,F,3.112107,1,0.1
W2401393,F,3.48601,1,0.0
W2401394,F,8.721802,1,0.0
W2401397,F,7.429193,1,0.0
W2401398,F,3.898077,1,0.0
W2401402,F,2.130512,1,0.0
W2401403,F,4.638657,1,0.0
W2401404,F,6.077206,1,0.0
W2401408,F,-2.716675,1,0.0
W2401410,F,5.120333,1,0.1
W2401413,F,3.066105,1,0.1
W2401414,F,7.825034,1,0.0
W2401415,F,9.397475,1,0.0
W2401418,F,1.946679,1,0.0
W2401419,F,-2.289436,1,0.0
W2401423,F,4.087822,1,0.1
W2401424,F,0.278159,1,0.1
W2401425,F,0.360572,1,0.0
W2401428,F,2.439898,1,0.0
W2401429,F,2.532194,1,0.0
W2401431,F,4.263389,1,0.1
W2401432,F,2.688054,1,0.1
W2401433,F,1.856991,1,0.0
W2401435,F,3.866243,1,0.1
W2401436,F,3.253685,1,0.0
W2401437,F,6.050844,1,0.1
W2401438,F,8.356719,1,0.1
W2401440,F,10.002364,1,0.1
W2401444,F,2.257928,1,0.0
W2401447,F,2.201149,1,0.1
W2401448,F,1.087152,1,0.1
W2401450,F,5.558973,1,0.0
W2401454,F,5.826016,1,0.1
W2401455,F,8.281196,1,0.1
W2401456,F,4.749345,1,0.1
W2401458,F,-1.107384,1,0.1
W2401459,F,8.498184,1,0.1
W2401460,F,5.451786,1,0.0
W2401461,F,6.61912,1,0.1
W2401462,F,3.561064,1,0.1
W2401463,F,7.826687,1,0.1
W2401464,F,1.457158,1,0.1
W2401465,F,2.343912,1,0.1
W2401466,F,2.549747,1,0.0
W2401467,F,4.285414,1,0.0
W2401469,F,2.568718,1,0.0
W2401470,F,6.953365,1,0.1
W2401473,F,3.91328,1,0.1
W2401475,F,4.9214,1,0.0
W2401476,F,2.983402,1,0.0
W2401477,F,4.161604,1,0.0
W2401478,F,1.980966,1,0.1
W2401482,F,6.292545,1,0.1
W2401483,F,6.58533,1,0.0
W2401489,F,7.983543,1,0.1
W2401490,F,8.439717,1,0.0
W2401491,F,0.069445,1,0.0
W2401492,F,6.284175,1,0.1
W2401493,F,3.29572,1,0.0
W2501494,F,2.243932,1,0.1
W2501496,F,-2.44934,1,0.1
W2501497,F,0.074732,1,0.1
W2501501,F,1.566855,1,0.1
W2501504,F,2.073724,1,0.1
W2501507,F,-0.284156,1,0.1
W2501508,F,6.676602,1,0.0
W2501513,F,1.891753,1,0.0
W2501515,F,4.868604,1,0.1
W2501516,F,3.93313,1,0.0
W2501517,F,3.096462,1,0.1
W2501518,F,3.211225,1,0.1
W2501519,F,-3.2103,1,0.0
W2501520,F,3.057756,1,0.1
W2501528,F,1.265523,1,0.1
W2501530,F,4.999591,1,0.1
W2501533,F,0.356851,1,0.1
W2501537,F,2.732633,1,0.1
W2501538,F,2.33269,1,0.1
W2501541,F,2.107122,1,0.1
W2501542,F,-1.265985,1,0.1
W2501545,F,2.72927,1,0.1
W2501546,F,0.107017,1,0.0
W2501547,F,-0.405401,1,0.0
W2501551,F,2.706374,1,0.0
W2501554,F,6.20017,1,0.1
W2501559,F,-0.514954,1,0.1
W2501561,F,6.109615,1,0.1
W2501562,F,2.998638,1,0.1
W2501563,F,1.122016,1,0.1
W2501566,F,6.356124,1,0.0
W2501569,F,-1.633127,1,0.1
W2501570,F,4.905048,1,0.0
W2501572,F,4.010563,1,0.1
W2501575,F,6.233214,1,0.0
W2501578,F,2.381535,1,0.0
W2501581,F,5.044929,1,0.0
W2501582,F,7.437475,1,0.1
W2501583,F,2.963892,1,0.0
W2501586,F,1.366081,1,0.0
W2501587,F,2.877057,1,0.1
W2501589,F,0.862854,1,0.1
W2501591,F,0.531927,1,0.1
W2501592,F,0.215552,1,0.1
W2501593,F,1.409408,1,0.1
W2501598,F,-0.05158,1,0.0
W2501599,F,3.360875,1,0.1
W2501604,F,5.001253,1,0.1
W2501610,F,4.539086,1,0.0
W2501611,F,4.56307,1,0.1
W2501614,F,5.929934,1,0.0
W2501615,F,3.383293,1,0.0
W2501616,F,6.212214,1,0.0
W2501620,F,2.680772,1,0.0
W2501622,F,1.356088,1,0.0
W2501624,F,3.826895,1,0.0
W2501626,F,2.497256,1,0.1
W2501627,F,1.798491,1,0.0
W2501628,F,3.005144,1,0.1
W2501629,F,4.467216,1,0.0
W2501631,F,-2.018279,1,0.0
W2501634,F,0.497939,1,0.1
W2501635,F,5.686983,1,0.1
W2501637,F,5.094323,1,0.1
W2501638,F,4.611981,1,0.1
W2501639,F,3.381852,1,0.0
W2501640,F,5.695088,1,0.0
W2501641,F,6.840899,1,0.0
W2501643,F,0.781652,1,0.1
W2501644,F,5.985881,1,0.1
W2501647,F,0.933917,1,0.1
W2501649,F,2.78839,1,0.1
W2501655,F,5.055034,1,0.1
W2501658,F,4.251315,1,0.1
W2501659,F,0.177744,1,0.0
W2501661,F,0.28751,1,1.0
W2501663,F,0.771949,1,0.0
W2501664,F,4.265294,1,0.0
W2501665,F,3.473447,1,0.0
W2501666,F,3.595709,1,0.1
W2501667,F,3.180713,1,0.1
W2501670,F,3.906172,1,0.0
W2501671,F,1.871617,1,0.0
W2501675,F,2.983244,1,0.1
W2501679,F,5.853615,1,0.1
W2501680,F,3.008025,1,0.1
W2501683,F,5.723871,1,0.1
W2501684,F,5.909732,1,0.1
W2501685,F,4.147239,1,0.1
W2501692,F,6.190682,1,0.1
W2501693,F,4.682615,1,0.1
W2501695,F,4.308259,1,0.0
W2501700,F,0.230779,1,0.1
W2501701,F,-2.018261,1,0.1
W2501702,F,1.790197,1,0.0
W2501703,F,2.695625,1,0.0
W2501704,F,2.157918,1,0.1
W2501707,F,3.018322,1,1.0
W2501708,F,6.326476,1,0.1
W2501710,F,1.068167,1,0.1
W2501711,F,2.825171,1,0.1
W2501715,F,1.325945,1,0.1
W2501719,F,6.030769,1,0.1
W2501721,F,8.463438,1,0.1
W2501722,F,9.027495,1,0.1
W2501723,F,7.331135,1,0.0
W2501724,F,0.220178,1,0.0
W2501725,F,1.049985,1,0.0
W2501726,F,1.99504,1,0.0
W2501730,F,6.572143,1,0.0
W2501731,F,3.46437,1,0.1
W2501732,F,5.254188,1,0.0
W2501734,F,2.649865,1,0.0
W2501735,F,2.315916,1,0.1
W2501736,F,2.649652,1,0.1
W2501738,F,2.82059,1,0.1
W2501742,F,5.898878,1,0.1
W2501745,F,11.575565,1,0.0
W2501747,F,3.423338,1,0.0
W2501748,F,-0.716402,1,0.1
W2501749,F,3.718901,1,0.1
W2501751,F,1.901116,1,0.1
W2501752,F,-0.584719,1,0.1
W2501753,F,6.266355,1,0.1
W2501754,F,3.85608,1,0.0
W2501756,F,3.863026,1,1.0
W2501758,F,4.365039,1,0.0
W2501760,F,1.443522,1,0.1
W2501765,F,7.503087,1,0.0
W2501770,F,2.769297,1,0.1
W2501774,F,2.942979,1,0.0
W2501775,F,3.020477,1,0.1
W2501780,F,1.014831,1,0.0
W2501781,F,5.702598,1,0.1
W2501783,F,2.133667,1,0.1
W2501784,F,1.85023,1,0.1
W2501786,F,7.639514,1,0.0
W2501788,F,3.810923,1,0.1
W2501791,F,2.610825,1,0.1
W2501792,F,7.964574,1,0.0
W2501793,F,8.126404,1,0.0
W2501794,F,4.87902,1,0.1
W2501798,F,1.768652,1,0.1
W2501800,F,4.066012,1,1.0
W2501801,F,0.36587,1,0.1
W2501803,F,2.597184,1,0.0
W2501804,F,1.065933,1,0.1
W2501805,F,1.621717,1,0.1
W2501807,F,7.228817,1,0.0
W2501808,F,2.425605,1,0.1
W2501809,F,1.206827,1,1.0
W2501811,F,2.826112,1,0.1
W2501813,F,5.380079,1,0.0
W2501814,F,8.104828,1,0.1
W2501818,F,7.752537,1,0.0
W2501819,F,6.396923,1,0.1
W2501826,F,5.009005,1,0.1
W2501827,F,9.46765,1,0.0
W2501829,F,6.634238,1,0.1
W2501831,F,4.966434,1,0.0
W2501835,F,6.156423,1,0.1
W2501836,F,3.077473,1,0.1
W2501837,F,5.359792,1,0.0
W2501838,F,1.744551,1,0.0
W2501842,F,4.792771,1,0.1
W2501843,F,3.186509,1,1.0
W2501845,F,13.833296,1,0.1
W2501846,F,4.155731,1,0.1
W2501849,F,3.373347,1,0.0
W2501850,F,2.28298,1,0.0
W2501851,F,4.553238,1,0.1
W2501852,F,6.360942,1,0.1
W2501853,F,9.622728,1,0.1
W2501857,F,-2.000473,1,0.1
W2501859,F,8.197284,1,0.1
W2501861,F,5.880392,1,0.0
W2501862,F,2.131612,1,0.1
W2501865,F,6.157883,1,0.1
W2501867,F,6.925813,1,0.0
W2501868,F,2.57431,1,0.1
W2501870,F,8.620848,1,0.1
W2501871,F,8.507982,1,0.1
W2501873,F,6.104372,1,0.1
W2501877,F,2.901926,1,0.1
W2501879,F,0.48575,1,0.1
W2501881,F,5.586672,1,0.1
W2501882,F,1.49236,1,0.1
W2501883,F,3.487013,1,0.1
W2501884,F,3.558816,1,0.1
W2501885,F,7.457651,1,0.1
W2501887,F,4.579564,1,0.0
W2501889,F,4.686707,1,0.1
W2501890,F,1.069202,1,0.0
W2501893,F,1.853271,1,0.0
W2501894,F,6.182842,1,0.0
W2501895,F,4.688914,1,0.0
W2501896,F,6.170302,1,1.0
