id,origin,birth_year,tbv,inbreeding
E11101,base,2011,1.356071,0.000000
E12102,base,2012,-0.260445,0.000000
E13103,base,2013,-2.464218,0.000000
E14104,base,2014,0.082713,0.000000
E15105,base,2015,0.606368,0.000000
E11106,base,2011,0.344838,0.000000
E12107,base,2012,-0.606086,0.000000
E13108,base,2013,-3.032541,0.000000
E14109,base,2014,2.509329,0.000000
E15110,base,2015,0.586797,0.000000
E11111,base,2011,-0.881560,0.000000
E12112,base,2012,1.226034,0.000000
E13113,base,2013,1.507739,0.000000
E14114,base,2014,-1.223655,0.000000
E15115,base,2015,1.833954,0.000000
E11116,base,2011,1.085232,0.000000
E12117,base,2012,-1.039936,0.000000
E13118,base,2013,-0.165976,0.000000
E14119,base,2014,0.335687,0.000000
E15120,base,2015,-2.494686,0.000000
E11121,base,2011,-0.157609,0.000000
E12122,base,2012,-1.026680,0.000000
E13123,base,2013,-1.529672,0.000000
E14124,base,2014,1.278631,0.000000
E15125,base,2015,-2.240419,0.000000
E11126,base,2011,-1.177707,0.000000
E12127,base,2012,0.866072,0.000000
E13128,base,2013,4.032835,0.000000
E14129,base,2014,-1.069707,0.000000
E15130,base,2015,0.373938,0.000000
E11131,base,2011,-1.620536,0.000000
E12132,base,2012,-1.555892,0.000000
E13133,base,2013,0.262393,0.000000
E14134,base,2014,0.219412,0.000000
E15135,base,2015,1.985226,0.000000
E11136,base,2011,-1.616810,0.000000
E12137,base,2012,-2.134102,0.000000
E13138,base,2013,2.052513,0.000000
E14139,base,2014,-0.576744,0.000000
E15140,base,2015,-0.076166,0.000000
E11141,base,2011,-0.801286,0.000000
E12142,base,2012,-1.680006,0.000000
E13143,base,2013,-1.899351,0.000000
E14144,base,2014,1.474995,0.000000
E15145,base,2015,-3.049549,0.000000
E11146,base,2011,-0.986495,0.000000
E12147,base,2012,2.194077,0.000000
E13148,base,2013,-2.240729,0.000000
E14149,base,2014,1.046122,0.000000
E15150,base,2015,1.975967,0.000000
P16A1,A,2014,1.602512,0.000000
P16A2,A,2014,4.125016,0.000000
P16B3,B,2014,-0.545861,0.000000
L160001,flock,2016,-1.673653,0.000000
L160002,flock,2016,0.019397,0.000000
L160003,flock,2016,-0.610799,0.000000
L160004,flock,2016,-1.993795,0.000000
L160005,flock,2016,-1.566927,0.000000
L160006,flock,2016,1.577431,0.000000
L160007,flock,2016,-1.359919,0.000000
L160008,flock,2016,-1.424836,0.000000
L160009,flock,2016,-2.092765,0.000000
L160010,flock,2016,-6.576455,0.000000
L160011,flock,2016,-1.093974,0.000000
L160012,flock,2016,-0.066661,0.000000
L160013,flock,2016,2.266524,0.000000
L160014,flock,2016,-0.160078,0.000000
L160015,flock,2016,1.709356,0.000000
L160016,flock,2016,-2.828647,0.000000
L160017,flock,2016,-2.042642,0.000000
L160018,flock,2016,-1.708677,0.000000
L160019,flock,2016,-0.501530,0.000000
L160020,flock,2016,3.499739,0.000000
L160021,flock,2016,-0.149271,0.000000
L160022,flock,2016,1.532624,0.000000
L160023,flock,2016,-3.114722,0.000000
L160024,flock,2016,1.150632,0.000000
L160025,flock,2016,-1.130201,0.000000
L160026,flock,2016,-1.066997,0.000000
L160027,flock,2016,-4.669465,0.000000
L160028,flock,2016,0.226431,0.000000
L160029,flock,2016,-2.244553,0.000000
L160030,flock,2016,-0.519834,0.000000
L160031,flock,2016,3.371445,0.000000
L160032,flock,2016,-2.448931,0.000000
L160033,flock,2016,-0.400192,0.000000
L160034,flock,2016,1.875548,0.000000
L160035,flock,2016,3.788225,0.000000
L160036,flock,2016,0.076237,0.000000
L160037,flock,2016,-0.090284,0.000000
L160038,flock,2016,4.769168,0.000000
L160039,flock,2016,0.542543,0.000000
L160040,flock,2016,-1.835284,0.000000
L160041,flock,2016,-2.222642,0.000000
L160042,flock,2016,0.314341,0.000000
L160043,flock,2016,2.300756,0.000000
L160044,flock,2016,0.659411,0.000000
L160045,flock,2016,3.228419,0.000000
L160046,flock,2016,-3.981903,0.000000
L160047,flock,2016,-0.481124,0.000000
L160048,flock,2016,3.180015,0.000000
L160049,flock,2016,-0.967613,0.000000
L160050,flock,2016,-2.512258,0.000000
L160051,flock,2016,0.066837,0.000000
L160052,flock,2016,-2.113572,0.000000
L160053,flock,2016,0.291277,0.000000
L160054,flock,2016,-0.917195,0.000000
L160055,flock,2016,0.074865,0.000000
L160056,flock,2016,2.016943,0.000000
L160057,flock,2016,1.388711,0.000000
L160058,flock,2016,0.031393,0.000000
L160059,flock,2016,0.791732,0.000000
L160060,flock,2016,3.257145,0.000000
L160061,flock,2016,-2.799987,0.000000
L160062,flock,2016,0.375555,0.000000
L160063,flock,2016,-1.279734,0.000000
L160064,flock,2016,2.401204,0.000000
L160065,flock,2016,1.603188,0.000000
L160066,flock,2016,-0.186003,0.000000
L160067,flock,2016,-2.245414,0.000000
L160068,flock,2016,1.156195,0.000000
L160069,flock,2016,-2.096279,0.000000
L160070,flock,2016,-1.226269,0.000000
L160071,flock,2016,-2.206115,0.000000
L160072,flock,2016,0.633483,0.000000
L160073,flock,2016,3.285099,0.000000
L160074,flock,2016,5.349955,0.000000
L160075,flock,2016,-3.062104,0.000000
L160076,flock,2016,-0.964272,0.000000
L160077,flock,2016,-0.545100,0.000000
L160078,flock,2016,2.731710,0.000000
L160079,flock,2016,-0.988346,0.000000
L160080,flock,2016,1.171273,0.000000
L160081,flock,2016,3.358499,0.000000
L160082,flock,2016,-3.198551,0.000000
L160083,flock,2016,-3.516984,0.000000
L160084,flock,2016,-3.474135,0.000000
L160085,flock,2016,0.358420,0.000000
L160086,flock,2016,1.261656,0.000000
L160087,flock,2016,0.500492,0.000000
L160088,flock,2016,2.123513,0.000000
L160089,flock,2016,-4.145249,0.000000
L160090,flock,2016,-0.842950,0.000000
L160091,flock,2016,1.454862,0.000000
L160092,flock,2016,1.167552,0.000000
L160093,flock,2016,-1.783437,0.000000
L160094,flock,2016,0.125142,0.000000
L160095,flock,2016,1.725759,0.000000
L160096,flock,2016,-1.589565,0.000000
L160097,flock,2016,-2.819421,0.000000
L160098,flock,2016,2.985916,0.000000
L160099,flock,2016,0.905918,0.000000
L160100,flock,2016,0.767493,0.000000
L160101,flock,2016,0.855503,0.000000
L160102,flock,2016,2.198246,0.000000
L160103,flock,2016,-0.606597,0.000000
L160104,flock,2016,0.427723,0.000000
L160105,flock,2016,-1.518570,0.000000
L160106,flock,2016,3.530398,0.000000
L160107,flock,2016,2.479940,0.000000
L160108,flock,2016,-5.340703,0.000000
L160109,flock,2016,0.619346,0.000000
L160110,flock,2016,0.854523,0.000000
L160111,flock,2016,4.009974,0.000000
L160112,flock,2016,1.911618,0.000000
L160113,flock,2016,2.773880,0.000000
L160114,flock,2016,-0.136447,0.000000
L160115,flock,2016,1.060478,0.000000
L160116,flock,2016,-0.546358,0.000000
L160117,flock,2016,2.272868,0.000000
L160118,flock,2016,-1.520922,0.000000
L160119,flock,2016,-0.773251,0.000000
L160120,flock,2016,-1.574297,0.000000
L160121,flock,2016,-0.357509,0.000000
L160122,flock,2016,-3.898918,0.000000
L160123,flock,2016,-1.185547,0.000000
L160124,flock,2016,-1.742458,0.000000
L160125,flock,2016,0.985176,0.000000
L160126,flock,2016,-0.364239,0.000000
L160127,flock,2016,-0.047855,0.000000
L160128,flock,2016,1.988824,0.000000
L160129,flock,2016,1.344065,0.000000
L160130,flock,2016,0.960144,0.000000
L160131,flock,2016,2.162808,0.000000
L160132,flock,2016,-0.708215,0.000000
L160133,flock,2016,-0.454593,0.000000
L160134,flock,2016,-0.351687,0.000000
L160135,flock,2016,0.381635,0.000000
L160136,flock,2016,-1.497263,0.000000
L160137,flock,2016,-2.022046,0.000000
L160138,flock,2016,-1.392799,0.000000
L160139,flock,2016,-5.258666,0.000000
L160140,flock,2016,-3.012210,0.000000
L160141,flock,2016,1.288264,0.000000
L160142,flock,2016,0.594894,0.000000
L160143,flock,2016,-2.186665,0.000000
L160144,flock,2016,-0.784921,0.000000
L160145,flock,2016,-5.837279,0.000000
L160146,flock,2016,1.619899,0.000000
L160147,flock,2016,-2.292388,0.000000
L160148,flock,2016,0.578734,0.000000
L160149,flock,2016,-3.133859,0.000000
L160150,flock,2016,1.286814,0.000000
P17A1,A,2015,3.511533,0.000000
P17A2,A,2015,1.742461,0.000000
P17B3,B,2015,0.061481,0.000000
L170001,flock,2017,2.543673,0.000000
L170002,flock,2017,2.010538,0.000000
L170003,flock,2017,-2.308029,0.000000
L170004,flock,2017,0.781817,0.000000
L170005,flock,2017,3.613566,0.000000
L170006,flock,2017,-1.704375,0.000000
L170007,flock,2017,-1.399260,0.000000
L170008,flock,2017,1.400305,0.000000
L170009,flock,2017,-1.667831,0.000000
L170010,flock,2017,3.583437,0.000000
L170011,flock,2017,-0.817688,0.000000
L170012,flock,2017,0.654268,0.000000
L170013,flock,2017,4.482615,0.000000
L170014,flock,2017,4.173273,0.000000
L170015,flock,2017,-3.813398,0.000000
L170016,flock,2017,1.067279,0.000000
L170017,flock,2017,2.691113,0.000000
L170018,flock,2017,-0.796706,0.000000
L170019,flock,2017,2.343449,0.000000
L170020,flock,2017,1.494377,0.000000
L170021,flock,2017,1.625811,0.000000
L170022,flock,2017,0.493098,0.000000
L170023,flock,2017,1.974368,0.000000
L170024,flock,2017,-0.022200,0.000000
L170025,flock,2017,1.660411,0.000000
L170026,flock,2017,3.940173,0.000000
L170027,flock,2017,-0.589668,0.000000
L170028,flock,2017,2.005796,0.000000
L170029,flock,2017,0.141950,0.000000
L170030,flock,2017,-0.355668,0.000000
L170031,flock,2017,-0.830457,0.000000
L170032,flock,2017,1.904552,0.000000
L170033,flock,2017,1.730882,0.000000
L170034,flock,2017,-0.486825,0.000000
L170035,flock,2017,2.913353,0.000000
L170036,flock,2017,2.494572,0.000000
L170037,flock,2017,2.990859,0.000000
L170038,flock,2017,-0.038250,0.000000
L170039,flock,2017,-0.658840,0.000000
L170040,flock,2017,-0.383738,0.000000
L170041,flock,2017,0.610860,0.000000
L170042,flock,2017,3.576295,0.000000
L170043,flock,2017,0.980946,0.000000
L170044,flock,2017,-1.381564,0.000000
L170045,flock,2017,0.168226,0.000000
L170046,flock,2017,0.534251,0.000000
L170047,flock,2017,-0.341788,0.000000
L170048,flock,2017,-0.009308,0.000000
L170049,flock,2017,2.695568,0.000000
L170050,flock,2017,0.695975,0.000000
L170051,flock,2017,-1.494575,0.000000
L170052,flock,2017,-1.673797,0.000000
L170053,flock,2017,1.816712,0.000000
L170054,flock,2017,0.131006,0.000000
L170055,flock,2017,-2.067080,0.000000
L170056,flock,2017,3.389725,0.000000
L170057,flock,2017,2.204020,0.000000
L170058,flock,2017,0.069873,0.000000
L170059,flock,2017,0.940113,0.000000
L170060,flock,2017,1.029402,0.000000
L170061,flock,2017,0.405694,0.000000
L170062,flock,2017,-2.362808,0.000000
L170063,flock,2017,2.237932,0.000000
L170064,flock,2017,-1.193046,0.000000
L170065,flock,2017,-1.034277,0.000000
L170066,flock,2017,1.587755,0.000000
L170067,flock,2017,1.866655,0.000000
L170068,flock,2017,-1.801205,0.000000
L170069,flock,2017,1.196070,0.000000
L170070,flock,2017,4.401632,0.000000
L170071,flock,2017,-1.936406,0.000000
L170072,flock,2017,-0.270449,0.000000
L170073,flock,2017,4.928975,0.000000
L170074,flock,2017,0.340756,0.000000
L170075,flock,2017,0.708289,0.000000
L170076,flock,2017,2.251359,0.000000
L170077,flock,2017,-1.250474,0.000000
L170078,flock,2017,1.999022,0.000000
L170079,flock,2017,1.462895,0.000000
L170080,flock,2017,1.314244,0.000000
L170081,flock,2017,-0.849621,0.000000
L170082,flock,2017,-1.284502,0.000000
L170083,flock,2017,1.883662,0.000000
L170084,flock,2017,0.244452,0.000000
L170085,flock,2017,1.965385,0.000000
L170086,flock,2017,-0.668231,0.000000
L170087,flock,2017,1.178647,0.000000
L170088,flock,2017,1.287387,0.000000
L170089,flock,2017,1.973326,0.000000
L170090,flock,2017,0.549229,0.000000
L170091,flock,2017,0.905853,0.000000
L170092,flock,2017,-2.980582,0.000000
L170093,flock,2017,-3.610431,0.000000
L170094,flock,2017,-1.490429,0.000000
L170095,flock,2017,2.118285,0.000000
L170096,flock,2017,2.422224,0.000000
L170097,flock,2017,2.033745,0.000000
L170098,flock,2017,1.484436,0.000000
L170099,flock,2017,0.194099,0.000000
L170100,flock,2017,4.888261,0.000000
L170101,flock,2017,-3.100357,0.000000
L170102,flock,2017,-0.039667,0.000000
L170103,flock,2017,-0.621992,0.000000
L170104,flock,2017,2.578388,0.000000
L170105,flock,2017,-1.498821,0.000000
L170106,flock,2017,3.617460,0.000000
L170107,flock,2017,2.268417,0.000000
L170108,flock,2017,0.387821,0.000000
L170109,flock,2017,-1.078463,0.000000
L170110,flock,2017,1.835341,0.000000
L170111,flock,2017,4.031507,0.000000
L170112,flock,2017,1.979450,0.000000
L170113,flock,2017,-1.280132,0.000000
L170114,flock,2017,0.043817,0.000000
L170115,flock,2017,1.636843,0.000000
L170116,flock,2017,-2.503056,0.000000
L170117,flock,2017,-2.938826,0.000000
L170118,flock,2017,4.289896,0.000000
L170119,flock,2017,-1.032097,0.000000
L170120,flock,2017,-3.100172,0.000000
L170121,flock,2017,0.058658,0.000000
L170122,flock,2017,3.512181,0.000000
L170123,flock,2017,-0.227022,0.000000
L170124,flock,2017,-2.416849,0.000000
L170125,flock,2017,0.728238,0.000000
L170126,flock,2017,1.194944,0.000000
L170127,flock,2017,1.085296,0.000000
L170128,flock,2017,1.435273,0.000000
L170129,flock,2017,-2.333620,0.000000
L170130,flock,2017,3.685102,0.000000
L170131,flock,2017,-1.461999,0.000000
L170132,flock,2017,1.404953,0.000000
L170133,flock,2017,-2.952861,0.000000
L170134,flock,2017,-2.675700,0.000000
L170135,flock,2017,2.161155,0.000000
L170136,flock,2017,2.022265,0.000000
L170137,flock,2017,4.133550,0.000000
L170138,flock,2017,-1.543457,0.000000
L170139,flock,2017,3.712739,0.000000
L170140,flock,2017,1.992214,0.000000
L170141,flock,2017,-3.186456,0.000000
L170142,flock,2017,2.803311,0.000000
L170143,flock,2017,2.895982,0.000000
L170144,flock,2017,0.742989,0.000000
L170145,flock,2017,-1.684685,0.000000
L170146,flock,2017,-0.197469,0.000000
L170147,flock,2017,-0.722675,0.000000
L170148,flock,2017,1.480454,0.000000
L170149,flock,2017,2.254380,0.000000
L170150,flock,2017,-1.344250,0.000000
P18A1,A,2016,3.320657,0.000000
P18A2,A,2016,5.698305,0.000000
P18B3,B,2016,-3.497511,0.000000
L180001,flock,2018,2.771216,0.000000
L180002,flock,2018,-3.351384,0.000000
L180003,flock,2018,2.987735,0.000000
L180004,flock,2018,5.407972,0.000000
L180005,flock,2018,3.678967,0.000000
L180006,flock,2018,-0.740252,0.000000
L180007,flock,2018,3.375239,0.000000
L180008,flock,2018,5.202110,0.000000
L180009,flock,2018,0.116809,0.000000
L180010,flock,2018,-0.006041,0.000000
L180011,flock,2018,0.817392,0.000000
L180012,flock,2018,-0.284170,0.000000
L180013,flock,2018,1.907158,0.000000
L180014,flock,2018,2.054849,0.000000
L180015,flock,2018,0.671376,0.000000
L180016,flock,2018,2.727755,0.000000
L180017,flock,2018,4.070617,0.000000
L180018,flock,2018,0.196558,0.000000
L180019,flock,2018,0.066784,0.000000
L180020,flock,2018,1.907444,0.000000
L180021,flock,2018,1.943835,0.000000
L180022,flock,2018,0.538781,0.000000
L180023,flock,2018,3.493590,0.000000
L180024,flock,2018,5.865972,0.000000
L180025,flock,2018,5.870382,0.000000
L180026,flock,2018,1.935906,0.000000
L180027,flock,2018,-1.968443,0.000000
L180028,flock,2018,0.180349,0.000000
L180029,flock,2018,-0.590551,0.000000
L180030,flock,2018,2.067178,0.000000
L180031,flock,2018,-0.601016,0.000000
L180032,flock,2018,-2.333741,0.000000
L180033,flock,2018,-0.615199,0.000000
L180034,flock,2018,6.462330,0.000000
L180035,flock,2018,-1.431269,0.000000
L180036,flock,2018,-1.438216,0.000000
L180037,flock,2018,-1.553030,0.000000
L180038,flock,2018,3.686850,0.000000
L180039,flock,2018,-2.271866,0.000000
L180040,flock,2018,-3.121047,0.000000
L180041,flock,2018,2.001830,0.000000
L180042,flock,2018,1.505813,0.000000
L180043,flock,2018,-0.330882,0.000000
L180044,flock,2018,1.986213,0.000000
L180045,flock,2018,2.735427,0.000000
L180046,flock,2018,-1.705248,0.000000
L180047,flock,2018,-4.229416,0.000000
L180048,flock,2018,2.855668,0.000000
L180049,flock,2018,-0.309806,0.000000
L180050,flock,2018,4.737832,0.000000
L180051,flock,2018,-1.156741,0.000000
L180052,flock,2018,-2.088216,0.000000
L180053,flock,2018,0.605561,0.000000
L180054,flock,2018,4.393981,0.000000
L180055,flock,2018,-1.745504,0.000000
L180056,flock,2018,3.455132,0.000000
L180057,flock,2018,2.407635,0.000000
L180058,flock,2018,-0.346418,0.000000
L180059,flock,2018,0.159174,0.000000
L180060,flock,2018,1.495332,0.000000
L180061,flock,2018,2.644333,0.000000
L180062,flock,2018,-0.443778,0.000000
L180063,flock,2018,1.095697,0.000000
L180064,flock,2018,2.112139,0.000000
L180065,flock,2018,3.982647,0.000000
L180066,flock,2018,1.483064,0.000000
L180067,flock,2018,-0.836813,0.000000
L180068,flock,2018,-0.768219,0.000000
L180069,flock,2018,1.656656,0.000000
L180070,flock,2018,-3.913669,0.000000
L180071,flock,2018,1.160958,0.000000
L180072,flock,2018,-0.837802,0.000000
L180073,flock,2018,2.652496,0.000000
L180074,flock,2018,2.334073,0.000000
L180075,flock,2018,-1.558741,0.000000
L180076,flock,2018,0.690198,0.000000
L180077,flock,2018,4.930450,0.000000
L180078,flock,2018,6.730190,0.000000
L180079,flock,2018,0.404392,0.000000
L180080,flock,2018,-0.057526,0.000000
L180081,flock,2018,4.587116,0.000000
L180082,flock,2018,4.625783,0.000000
L180083,flock,2018,0.574922,0.000000
L180084,flock,2018,0.296923,0.000000
L180085,flock,2018,5.557260,0.000000
L180086,flock,2018,3.465726,0.000000
L180087,flock,2018,-4.436593,0.000000
L180088,flock,2018,-0.674017,0.000000
L180089,flock,2018,-0.124878,0.000000
L180090,flock,2018,0.063001,0.000000
L180091,flock,2018,-3.916310,0.000000
L180092,flock,2018,1.061162,0.000000
L180093,flock,2018,-0.073034,0.000000
L180094,flock,2018,0.919880,0.000000
L180095,flock,2018,5.158582,0.000000
L180096,flock,2018,1.715260,0.000000
L180097,flock,2018,-1.409146,0.000000
L180098,flock,2018,2.890883,0.000000
L180099,flock,2018,1.992885,0.000000
L180100,flock,2018,5.163717,0.000000
L180101,flock,2018,-4.853979,0.000000
L180102,flock,2018,-0.077130,0.000000
L180103,flock,2018,-0.949648,0.000000
L180104,flock,2018,0.123410,0.000000
L180105,flock,2018,0.313865,0.000000
L180106,flock,2018,3.707605,0.250000
L180107,flock,2018,0.716574,0.250000
L180108,flock,2018,1.234628,0.000000
L180109,flock,2018,0.870608,0.000000
L180110,flock,2018,2.146668,0.000000
L180111,flock,2018,-1.780344,0.000000
L180112,flock,2018,1.881397,0.000000
L180113,flock,2018,0.418384,0.250000
L180114,flock,2018,-2.261465,0.000000
L180115,flock,2018,4.306848,0.000000
L180116,flock,2018,2.664325,0.000000
L180117,flock,2018,3.918945,0.000000
L180118,flock,2018,3.344210,0.000000
L180119,flock,2018,-0.176478,0.000000
L180120,flock,2018,3.442684,0.250000
L180121,flock,2018,3.694795,0.250000
L180122,flock,2018,0.700286,0.000000
L180123,flock,2018,-0.788786,0.000000
L180124,flock,2018,3.244780,0.000000
L180125,flock,2018,0.458217,0.000000
L180126,flock,2018,0.781192,0.000000
L180127,flock,2018,1.888247,0.000000
L180128,flock,2018,1.874162,0.000000
L180129,flock,2018,1.552038,0.000000
L180130,flock,2018,0.604602,0.000000
L180131,flock,2018,-2.232385,0.000000
L180132,flock,2018,2.400268,0.000000
L180133,flock,2018,0.892315,0.000000
L180134,flock,2018,2.353859,0.000000
L180135,flock,2018,0.273162,0.000000
L180136,flock,2018,0.525094,0.250000
L180137,flock,2018,-0.253527,0.000000
L180138,flock,2018,1.585784,0.000000
L180139,flock,2018,-0.170996,0.000000
L180140,flock,2018,1.938043,0.000000
L180141,flock,2018,0.341356,0.000000
L180142,flock,2018,3.226117,0.000000
L180143,flock,2018,-4.995285,0.000000
L180144,flock,2018,-0.187278,0.000000
L180145,flock,2018,3.530096,0.000000
L180146,flock,2018,3.573437,0.000000
L180147,flock,2018,1.667379,0.000000
L180148,flock,2018,-2.726860,0.000000
L180149,flock,2018,-0.153229,0.000000
L180150,flock,2018,-1.448598,0.000000
P19A1,A,2017,1.201662,0.000000
P19A2,A,2017,1.114522,0.000000
P19B3,B,2017,-1.104769,0.000000
L190001,flock,2019,3.105885,0.000000
L190002,flock,2019,0.570558,0.000000
L190003,flock,2019,1.163614,0.000000
L190004,flock,2019,-2.685371,0.000000
L190005,flock,2019,-2.048788,0.000000
L190006,flock,2019,-0.560087,0.000000
L190007,flock,2019,4.921801,0.000000
L190008,flock,2019,-2.486852,0.000000
L190009,flock,2019,-0.649086,0.000000
L190010,flock,2019,1.909032,0.000000
L190011,flock,2019,6.811609,0.000000
L190012,flock,2019,3.056869,0.000000
L190013,flock,2019,1.569298,0.000000
L190014,flock,2019,0.372286,0.000000
L190015,flock,2019,3.939157,0.000000
L190016,flock,2019,-3.898418,0.000000
L190017,flock,2019,0.812292,0.000000
L190018,flock,2019,0.995798,0.000000
L190019,flock,2019,1.186856,0.000000
L190020,flock,2019,0.161729,0.000000
L190021,flock,2019,-0.044692,0.000000
L190022,flock,2019,1.382165,0.000000
L190023,flock,2019,1.186057,0.000000
L190024,flock,2019,-1.200502,0.000000
L190025,flock,2019,-1.982325,0.000000
L190026,flock,2019,3.754995,0.000000
L190027,flock,2019,1.922241,0.000000
L190028,flock,2019,0.780028,0.000000
L190029,flock,2019,0.810539,0.000000
L190030,flock,2019,1.096374,0.000000
L190031,flock,2019,0.193549,0.000000
L190032,flock,2019,2.034809,0.000000
L190033,flock,2019,0.929194,0.000000
L190034,flock,2019,4.515418,0.000000
L190035,flock,2019,0.099208,0.000000
L190036,flock,2019,-2.548663,0.000000
L190037,flock,2019,0.144721,0.000000
L190038,flock,2019,-0.409160,0.000000
L190039,flock,2019,2.253284,0.000000
L190040,flock,2019,4.572163,0.000000
L190041,flock,2019,-0.773976,0.000000
L190042,flock,2019,1.249728,0.000000
L190043,flock,2019,5.909330,0.000000
L190044,flock,2019,0.410175,0.000000
L190045,flock,2019,-0.331810,0.000000
L190046,flock,2019,-1.799894,0.000000
L190047,flock,2019,2.921283,0.000000
L190048,flock,2019,0.719367,0.000000
L190049,flock,2019,-1.357856,0.000000
L190050,flock,2019,-1.669061,0.000000
L190051,flock,2019,0.470310,0.000000
L190052,flock,2019,0.862511,0.000000
L190053,flock,2019,-0.289737,0.000000
L190054,flock,2019,-0.213103,0.000000
L190055,flock,2019,0.046069,0.000000
L190056,flock,2019,-3.342468,0.000000
L190057,flock,2019,2.336325,0.000000
L190058,flock,2019,3.757431,0.000000
L190059,flock,2019,-0.022568,0.000000
L190060,flock,2019,-0.367047,0.000000
L190061,flock,2019,3.237594,0.000000
L190062,flock,2019,2.903269,0.000000
L190063,flock,2019,-3.233662,0.000000
L190064,flock,2019,-0.266372,0.000000
L190065,flock,2019,1.128405,0.000000
L190066,flock,2019,-1.522955,0.000000
L190067,flock,2019,1.630290,0.000000
L190068,flock,2019,0.980945,0.000000
L190069,flock,2019,2.364084,0.000000
L190070,flock,2019,-1.601405,0.000000
L190071,flock,2019,2.851197,0.000000
L190072,flock,2019,-0.147369,0.000000
